2a3d/2a3di	is sitting/doing
tefae7a	apple
teiaeb	clothes
tejrobi	experience
telamiiz	students
telefon	telephone
teliani/telianiiyi	Italian man/woman
telmiiz/telmiizi	student
temshaiiyi	(a) walk
terwii2a	breakfast
teslii7	repair
ticket(english)	ticket
tiiara	airplane
tiijaara	trade
tnaen	two
toailet	bathroom
tofol	baby
train (french)	train
vacances (french)	vacation
vaen	van
viitaes	stick (automobile)
w3adtak/w3adtik	I promised you
w3adtni/w3adtini	You promised me
wa	and
wa2ta	at that time
wa2ta	at that time
wa2ta	back then
wa3d	promise
wa3i/wa3yi	awake
waad7/waad7a	clear
wae3i/wae3iiyi	awake
waese3	wide
waiin etoailet pliiz?	where is the bathroom, please?
waiin?	where?
waja3	pain
waja3 raas	headache
waja3 zala3iim	sore throat
walad	child
walaeken	but/however
walaeken	however
war2	papers
war2a	paper/contract
wara	behind
wardi	flower
wasfi	prescription
wasfi men edoctoor	prescription from the doctor
watan	nation
wej	face
welaed	kids
wesl/weslt	arrived (he/she)
wo2eza!	So what!
wo2eza…	And if…
ya 7aram!	pity!
ya te3tiiri!	how terrible!
Yalla kol/keli/kelo!	Eat Up! M/F/Group
yamiin	right
yefrosh/tefrosh	to furnish
yii	oh no
youm	day
za7met saiir	traffic conjestion
zaewiyi	corner
zaha2	bordom
zaha2aen/zaha2aeni	bored (im bored)
zaiit	oil
zaka	knowlegde
zakerni/zakriini	remind me
zaki/zakiiyi	clever
zaki/zakiiyi	smart
zal3oum	throat
zaman	era
zawaej	marriage
zawj	husband
zawj	pair
zebdi	butter
zet elshi	same thing
ziaara	a visit
ziiaara	(a)visit
