username,time,text,tags,translated_text,location,latitude,longitude,KADAA_ID,KADAA_AR,KADAA_EN,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN
@UpdatesLebanese,2020-09-30,"The Ministry of Health: 6 deaths and 1,257 cases of corona in Lebanon.",[],"The Ministry of Health: 6 deaths and 1,257 cases of corona in Lebanon.",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"DER SPIEGEL
http://spiegel.de #r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug #Nawalny #Qanon","['#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Qanon', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Obama', '#Virecard', '#PSG', '#Lebanon', '#Beirut', '#DerSpiegel', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE MIRROR
http://spiegel.de # r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern # Leipzig #PSG #Lyon #Voting fraud #Nawalny #Qanon",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-29,"HAMBURGER MORGENPOST
https://mopo.de #r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug","['#Trump', '#Dax', '#HamburgerMorgenPost', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#AngelaMerkel', '#Obama', '#Virecard', '#Hamburg', '#PSG', '#Lebanon', '#Beirut', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","HAMBURGER MORGENPOST
https://mopo.de # r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut # Bavaria #Leipzig #PSG #Lyon #Voting fraud",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-28,"#photos #sony #camera #white #khaleeji #art #corona #coronavirus #covid19 #dr_hsn_al_khamali @ Zahlé, Lebanon https://instagram.com/p/CFp80-VgmJg/?igshid=1ksf4luv7o75b…","['#art', '#coronavirus', '#photos', '#camera', '#khaleeji', '#white', '#dr_hsn_al_khamali', '#sony', '#covid19', '#corona']","#photos #sony #camera #white #khaleeji #art #corona #coronavirus # covid19 #dr_hsn_al_khamali @ Zahlé, Lebanon https://instagram.com/p/CFp80-VgmJg/?igshid=1ksf4luv7o75b…",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@migealdude2,2020-09-28,"@ALJADEEDNEWS
  #الحدث  no pcr test at the airport, eh its selective hsab el fa2se  #Corona #كورونا #لبنان #lebanon","['#Corona', '#كورونا', '#lebanon', '#لبنان', '#الحدث']","@AlJADEEDEW
  # Event no pcr test at the airport, eh its selective hsab el fa2se # Corona # Corona # Lebanon #lebanon",كور,34.2356,35.7367,74000,البترون,El Batroun,7,الشمال,North
UserX,2020-09-27,Lee bi kell el aalam anjae fi cases corona w yemkn ma fi corona bel marra w bi lebanon exist 1000+ cases smallah,[],"Lee bil the world of Anja in a krona couscous, and it is possible not in a corona, but once, and my milk is 1000+ sssmullah",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@trackpresident,2020-09-26,"Lebanon's Prime Minister-designate Mustapha Adib resigns
#Lebanon 
#PM
#coronavirus 
#Corona 
#COVID19 
#COVIDー19","['#coronavirus', '#PM', '#COVIDー19', '#COVID19', '#Lebanon', '#Corona']","Lebanon's Prime Minister-designate Mustapha Adib resigns
#Lebanon 
#PM
#coronavirus 
#Corona 
#COVID19 
#COVIDー19",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-26,"Replying to 
@RUBYSBESSON",[],"Replying to 
@RUBYSBESSON",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-25,"Replying to 
@IDF",[],"Replying to 
@IDF",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@revue2presse,2020-09-25,"HAMBURGER MORGENPOST
https://mopo.de #r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug","['#Trump', '#Dax', '#HamburgerMorgenPost', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#AngelaMerkel', '#Obama', '#Virecard', '#Hamburg', '#PSG', '#Lebanon', '#Beirut', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","HAMBURGER MORGENPOST
https://mopo.de # r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut # Bavaria #Leipzig #PSG #Lyon #Voting fraud",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-24,"CORONA PPE KIT Manufacturer In Beirut Lebanon - #DisposableSterilizedPPEKit CORONA PPE KIT Manufacturer in Beirut Lebanon Fusion Tech International is located in Ahmedabad, Gujarat (India). Our company has steadily risen among the leading...",['#DisposableSterilizedPPEKit'],"CORONA PPE KIT Manufacturer In Beirut Lebanon - #DisposableSterilizedPPEKit CORONA PPE KIT Manufacturer in Beirut Lebanon Fusion Tech International is located in Ahmedabad, Gujarat (India). Our company has steadily risen among the leading...",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@Coronalebanon2,2020-09-24,"Replying to 
@BassamAbouZeid",[],"Replying to 
@BassamAbouZeid",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-23,"Replying to 
@ihategabouz",[],"Replying to 
@ihategabouz",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@leb9857474,2020-09-23," #Lebanon takes new approach to #corona #Covid_19 - - a #lockdown will not be implimented, despite virus rapidly spreading. Popular support for this on the street today. Those who still have jobs desperately need to maintain them, after #BeirutExplosion & four previous lockdown","['#BeirutExplosion', '#Covid_19', '#lockdown', '#Lebanon', '#corona']","#Lebanon takes new approach to #corona #Covid_19 - - a #lockdown will not be implimented, despite virus rapidly spreading. Popular support for this on the street today. Those who still have jobs desperately need to maintain them, after #BeirutExplosion & four previous lockdown",فوار,34.0017,36.0992,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
UserX,2020-09-22,"Masterful, penetrating thesis by Ghassan Abu-Sittah on Gaza in the Age of Corona; from Agamben's 'state of exception' to 'time itself is weaponized'. 
@r4hcmena
 @kchalkidou
 @KCLSecurity
 @HealthMena
 @AUB_Lebanon
 https://palestine-studies.org/en/node/1650542",[],"Masterful, penetrating thesis by Ghassan Abu-Sittah on Gaza in the Age of Corona; from Agamben's 'state of exception' to 'time itself is weaponized'. 
@r4hcmena
 @kchalkidou
 @KCLSecurity
 @HealthMena
 @AUB_Lebanon
 https://palestine-studies.org/en/node/1650542",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@PrathmeshPard10,2020-09-21,Now that new names will keep coming ..these antinationals will keep talking about GDP and Corona . I wish these people were born in Syria or Lebanon where there is no problem at all #DeepikaPadukone #ArrestDishaSSRKillers #LiberalismIsAMentalDisorder,"['#DeepikaPadukone', '#ArrestDishaSSRKillers', '#LiberalismIsAMentalDisorder']",Now that new names will keep coming ..these antinationals will keep talking about GDP and Corona . I wish these people were born in Syria or Lebanon where there is no problem at all #DeepikaPadukone #ArrestDishaSSRKillers #LiberalismIsAMentalDisorder,الكسران,33.1861,35.3875,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
UserX,2020-09-21,"Once I heard 1006 corona cases in Lebanon, I just wished if I can get same score in my SAT 
#كورونا",['#كورونا'],"Once I heard 1006 corona cases in Lebanon, I just wished if I can get same score in my SAT 
#كورونا",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-20,President Bio returned from Lebanon!Most people in Sierra Leone had been asking themselves this questions!Why President Bio during this Corona period or CONVID-19 went to Lebanon?What did he go to do when he left the country?,[],President Bio returned from Lebanon!Most people in Sierra Leone had been asking themselves this questions!Why President Bio during this Corona period or CONVID-19 went to Lebanon?What did he go to do when he left the country?,بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@dzuma_twt,2020-09-20,"Replying to 
@txtdarimadiun",[],"Replying to 
@txtdarimadiun",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@t3betrayy,2020-09-19,"Replying to 
@hizirqubay",[],"Replying to 
@hizirqubay",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-19,"DIE WELT 
http://welt.de #r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona #Covid19 #Deutschland #Covid19 #KamalaHarris #Virecard #Liban #Lebanon #Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin","['#News', '#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Liban', '#Covid19', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Virecard', '#DieWelt', '#PSG', '#Russia', '#Lebanon', '#KamalaHarris', '#Beirut', '#Putin', '#International', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE WORLD
http://welt.de # r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona # Covid19 #Germany # Covid19 #KamalaHarris #Virecard #Liban #Lebanon # Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-18,"DIE WELT 
http://welt.de #r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona #Covid19 #Deutschland #Covid19 #KamalaHarris #Virecard #Liban #Lebanon #Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin","['#News', '#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Liban', '#Covid19', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Virecard', '#DieWelt', '#PSG', '#Russia', '#Lebanon', '#KamalaHarris', '#Beirut', '#Putin', '#International', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE WORLD
http://welt.de # r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona # Covid19 #Germany # Covid19 #KamalaHarris #Virecard #Liban #Lebanon # Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-17,"DIE WELT 
http://welt.de #r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona #Covid19 #Deutschland #Covid19 #KamalaHarris #Virecard #Liban #Lebanon #Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin","['#News', '#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Liban', '#Covid19', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Virecard', '#DieWelt', '#PSG', '#Russia', '#Lebanon', '#KamalaHarris', '#Beirut', '#Putin', '#International', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE WORLD
http://welt.de # r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona # Covid19 #Germany # Covid19 #KamalaHarris #Virecard #Liban #Lebanon # Beirut #Bavaria #Leipzig #PSG #Nawalny #Russia #Putin",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@revue2presse,2020-09-17,"HAMBURGER MORGENPOST
https://mopo.de #r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug","['#Trump', '#Dax', '#HamburgerMorgenPost', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#AngelaMerkel', '#Obama', '#Virecard', '#Hamburg', '#PSG', '#Lebanon', '#Beirut', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","HAMBURGER MORGENPOST
https://mopo.de # r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut # Bavaria #Leipzig #PSG #Lyon #Voting fraud",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-16,"HAMBURGER MORGENPOST
https://mopo.de #r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug","['#Trump', '#Dax', '#HamburgerMorgenPost', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#AngelaMerkel', '#Obama', '#Virecard', '#Hamburg', '#PSG', '#Lebanon', '#Beirut', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","HAMBURGER MORGENPOST
https://mopo.de # r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut # Bavaria #Leipzig #PSG #Lyon #Voting fraud",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-15,"Replying to 
@emidd2013
 and 
@realDonaldTrump",[],"Replying to 
@emidd2013
 and 
@realDonaldTrump",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@revue2presse,2020-09-15,"DIE WELT 
http://welt.de #r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona #Covid19 #Deutschland #Covid19 #KamalaHarris #Virecard #Liban #Lebanon #Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin","['#News', '#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Liban', '#Covid19', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Virecard', '#DieWelt', '#PSG', '#Russia', '#Lebanon', '#KamalaHarris', '#Beirut', '#Putin', '#International', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE WORLD
http://welt.de # r2p #DieWelt #News #International #Dax #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Trump #Coronavirus #Corona # Covid19 #Germany # Covid19 #KamalaHarris #Virecard #Liban #Lebanon # Beirut #Bayern #Leipzig #PSG #Nawalny #Russia #Putin",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-14,"The UNIFIL forces operating in southern Lebanon, announced Sunday, that 90 ""peacekeepers"" have been infected with the Corona virus.",[],"The UNIFIL forces operating in southern Lebanon, announced Sunday, that 90 ""peacekeepers"" have been infected with the Corona virus.",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-13,"DER SPIEGEL
http://spiegel.de #r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug #Nawalny","['#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Obama', '#Virecard', '#PSG', '#Lebanon', '#Beirut', '#DerSpiegel', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE MIRROR
http://spiegel.de # r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern # Leipzig #PSG #Lyon #Voting fraud #Nawalny",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@Whateve03744763,2020-09-13,"It is so sad that people in #lebanon are SUFFERING from the toxic of the bomb , shitty government, corona and economy tragedies and their are still on their feet ... yet no one give a shit. 
If tiktok was banned I swear to god people were care more #sadreality","['#lebanon', '#sadreality']","It is so sad that people in #lebanon are SUFFERING from the toxic of the bomb , shitty government, corona and economy tragedies and their are still on their feet ... yet no one give a shit. 
If tiktok was banned I swear to god people were care more #sadreality",شويت,33.8289,35.6092,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
UserX,2020-09-11,"Lebanon Reality:

Summer 1999: Chocholocco,Broumana,Vogue,
Sagesse,Janna,Bacardi night,Beat machine etc

Summer 2020: Corona,Nitrate,Political Problems,Social Distancing,Amrad etc",[],"Lebanon Reality:

Summer 1999: Chocholocco,Broumana,Vogue,
Sagesse,Janna,Bacardi night,Beat machine etc

Summer 2020: Corona,Nitrate,Political Problems,Social Distancing,Amrad etc",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@revue2presse,2020-09-11,"DER SPIEGEL
http://spiegel.de #r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug #Nawalny","['#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Obama', '#Virecard', '#PSG', '#Lebanon', '#Beirut', '#DerSpiegel', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE MIRROR
http://spiegel.de # r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern # Leipzig #PSG #Lyon #Voting fraud #Nawalny",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-10,"HAMBURGER MORGENPOST
https://mopo.de #r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug","['#Trump', '#Dax', '#HamburgerMorgenPost', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#AngelaMerkel', '#Obama', '#Virecard', '#Hamburg', '#PSG', '#Lebanon', '#Beirut', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","HAMBURGER MORGENPOST
https://mopo.de # r2p #HamburgerMorgenPost #Hamburg #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut # Bavaria #Leipzig #PSG #Lyon #Voting fraud",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-09,"#Corona - The virus that only comes out after hours. #Lebanon curfew from 1:00 am till 5:00 am.
#بس_هيك  #لبنان #لبنان_ينتفض #حزب_الله_ارهابي","['#لبنان_ينتفض', '#لبنان', '#بس_هيك', '#Lebanon', '#Corona', '#حزب_الله_ارهابي']","#Corona - The virus that only comes out after hours. #Lebanon curfew from 1:00 am till 5:00 am.
#Bas_Hik #Lebanon #Lebanon_Terrorist Party",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-08,I hope anyone who works for the county of Lebanon gets Corona and their pets run away,[],I hope anyone who works for the county of Lebanon gets Corona and their pets run away,بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@MhdRayess,2020-09-08,"@CoronaLebanon
 تفه عليكي يا رخيصة",[],"@Coronavirus
 Trivia you cheap",ليلكي,33.8331,35.5169,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
UserX,2020-09-07,"DER SPIEGEL
http://spiegel.de #r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Deutschland #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern #Leipzig #PSG #Lyon #Wahlbetrug #Nawalny","['#Trump', '#Dax', '#Macron', '#Allemagne', '#USA', '#Coronavirus', '#Bayern', '#UE', '#r2p', '#Nawalny', '#AngelaMerkel', '#Obama', '#Virecard', '#PSG', '#Lebanon', '#Beirut', '#DerSpiegel', '#Wahlbetrug', '#Biden', '#Covid', '#Lyon', '#Polizei', '#Corona', '#Leipzig', '#Deutschland', '#Germany']","THE MIRROR
http://spiegel.de # r2p #DerSpiegel #Germany #Allemagne #AngelaMerkel #Macron #UE #USA #Obama #Biden #Trump #Coronavirus #Corona #Covid #Germany #Dax #Polizei #Virecard #Lebanon #Beirut #Bayern # Leipzig #PSG #Lyon #Voting fraud #Nawalny",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-06,"Replying to 
@JanineKeyrouz",[],"Replying to 
@JanineKeyrouz",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,511 حالة كورونا موجبة في 33 مدينة وفقاً للبيان 206 للمركز الوطني لمكافحة الأمراض,[],"511 positive corona cases in 33 cities, according to Statement 206 of the National Center for Disease Control",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
UserX,2020-09-30,"في #كورونا النموذج الإيطالي ليس بعيدا عن لبنان
قلت بخبركن",['#كورونا'],"In # Corona the Italian model is not far from Lebanon
I told your news",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
@Amir_A_Omar,2020-09-29,"Replying to 
@Gebran_Bassil",[],"Replying to 
@Gebran_Bassil",بيروت,33.8719,35.5097,31000,بيروت,Beirut,3,بيروت,Beirut
