username,time,text,tags,locations
DaBeastModeKing,Sep 2,Shawn the medical records technician with their pet Vinny the Transylvanian Hound are being chased by a Riojasuchus in the country of Guinea while eating a Lebanon bologna with Pickled onion while holding a begonia in a pot of soil.,[],
Suz,Sep 2,"https://ticketaid.com//events/2ccab845-a753-41f7-8091-7deaf2ef1622/fundraise/details… 

#refinitiv through #ticketaid is supporting 3 initiatives in Lebanon! help us raise funds for BrickbyBrick/LRI, CCCL and St. George University Medical Center","['#ticketaid', '#refinitiv']",
Atria Brokers,Sep 2,"Jordan dispatches wheat to Lebanon – 
@ReutersAg
 
Jordan on Monday dispatched emergency humanitarian aid, including food and medical supplies in addition to wheat to Lebanon after Beirut's grain silos were damaged after a massive blast on August 4.",[],
International Medical Corps UK,Sep 2,"""I thought I was about to be incinerated."" 

Adam Jacovou, our #Lebanon Project Coordinator, was jogging in the port when the #BeirutExplosion happened. Hear his recollection of the moment below ","['#BeirutExplosion', '#Lebanon']",
MTV English News,Sep 2,"Head of Doctors Syndicate Abou Charaf: The danger still exists due to the coronavirus pandemic in the absence of a vaccine yet; the hospital and medical sector in Lebanon must be financially encouraged by paying fees and costs, and a special account has been opened to receive aid",[],
Medical Yellow,Sep 2,Wilmington OH USA - Medical Assistant-FLOAT - HealthSource of Ohio is seeking to hire a Full Time Me: HealthSource of Ohio is seeking to hire a Full Time Medical Assistant Float Washington Court House Wilmington Lebanon Hi http://dld.bz/jhNrQ,[],
Franz Lamplmair,Sep 2,"Aid for #Lebanon !

A 2nd EU Humanitarian Air Bridge flight arrived in Beirut with12 tonnes of essential supplies and medical equipment, incl. mobile hospital and face masks.

The material will help the most vulnerable.

#EUSolidarity 
@eu_echo","['#EUSolidarity', '#Lebanon']",
Rania,Sep 2,"Replying to 
@medlabmaria",[],
Michael Dean,Sep 2,"Replying to 
@JohnEJefferson",[],
Laura Koch,Sep 2,"More love for #Lebanon, over 2k tonnes  of medical aid for Beirut yesterday September 1. The aid includes food, medical supplies, children’s food supplements, sanitisers, personal protective equipment and clothes. #aid #HumanityFirst  #UAE #medicalhelp 

https://wam.ae/en/details/1395302866537…","['#HumanityFirst', '#aid', '#UAE', '#Lebanon', '#medicalhelp']",
Fred Bteich,Sep 1,"[4/4] 624 cases among the medical staff since the #COVID19 pandemic began in #Lebanon:
- Other: 55%.
- Nurses: 29%.
- Clinicians: 13%.
- Lab technicians: 2%.","['#COVID19', '#Lebanon']",
Frontier Partners International,Sep 1,Encouraging results as our teams offer a hand up to those in need in Lebanon & Kurdistan.  Our US team will leave soon with a medical team to support efforts in Beirut and the Bakaa Valley.  Please pray all the details come together for our medical partner.,[],
Lebanon VA Medical Center,Sep 1,"September is #PainAwarenessMonth, 
@VALebanon
 opened a new Pain Procedure Clinic yesterday in order to better serve #Veterans with chronic pain.","['#PainAwarenessMonth', '#Veterans']",
umilkheir,Sep 1,"Hey Twitter!!
I’m raising money for Beirut in order to provide essential medical supplies and food packages for people of Lebanon 
. The country needs your help after suffering a catastrophic explosion at the city’s port. I need your help reaching £200 ",[],
CMA CGM Group,Sep 1,"Medicines, medical equipment and hygiene products, including: 
- 9 pallets of medicines donated by 
@SanofiFR
 to UNICEF Lebanon, 
- 25 pallets of masks, gloves, hand sanitizer … donated by Orpea-Clinea to the Hôtel Dieu de France hospital,",[],
Christophe Martin,Sep 1," @EmmanuelMacron
 4 yr visit 2 RHUH + yr words of support 2 the biggest public hospital in #Lebanon. ⁦
@ICRC_lb
⁩
collaborating w/ ⁦⁦
@AFD_France
⁩
is proud of this partnership strengthening ⁦
@firassabiad
⁩ + teams in providing medical care 2 the most vulnerable.",['#Lebanon'],
EU in Lebanon,Sep 1,"12 tonnes of essential humanitarian supplies including masks, medical equipment and a mobile hospital landed in #Beirut yesterday night. Find out more on the #EU response to the Beirut explosion from Esmee De Jong, head of 
@eu_echo
 in #Lebanon.","['#EU', '#Lebanon', '#Beirut']",
سفارة قطر - بيروت,Sep 1,"1/2 On this day, a ""protocol for the delivery and receipt of"" medical aid sent to Beirut was signed according to the directives of His Highness Sheikh Tamim bin Hamad Al Thani, the Emir ,to support Lebanon after the port disaster.",[],
AUB,Sep 1,"Caring for Beirut, our students, the medical center and campus – today and always! #AUB
 
Learn more about the AUB4Beirut Disaster Response: https://aub.edu.lb/advancement/Development/Pages/AUB4BeirutDisasterResponse.aspx…",['#AUB'],
LebTown,Sep 1,"The paintings were donated in honor of her late father, Dr. Elliot Vesell, an art scholar and the founding chair of pharmacology at Penn State Health Milton S. Hershey Medical Center. https://lebtown.com/2020/09/01/lebanon-valley-colleges-arnold-gallery-gifted-45-nineteenth-century-paintings/?utm_source=Twitter&utm_medium=social&utm_term=lebanon-valley-colleges-arnold-gallery-gifted-45-nineteenth-century-paintings&utm_content=0&utm_campaign=PostPromoterPro…",[],
Action Group for Palestinians of Syria,Sep 1,"UNRWA denied reports about its intent to start providing medical assistance to refugees affected by the blast that struck Beirut’s seaport last month. #Lebanon #PalestineRefugees
https://actionpal.org.uk/en/post/10569","['#Lebanon', '#PalestineRefugees']",
Medical Aid for Palestinians,Sep 1,"Replying to 
@HaniSFarsi
 @charitywater
 and 6 others",[],
International Medical Corps UK,Sep 1,"""One day, you will tell this story to your kids and your grandkids—and you will be the heroes."" 
 Thank you to everyone who sent a message of support to our #Lebanon team. Hear what it means to the team below ",['#Lebanon'],
Joffre (J.D.) Meyer,Sep 1,"Morocco’s Field Hospital in Beirut Provides 15,900 Medical Services https://moroccoworldnews.com/2020/08/316980/moroccos-field-hospital-in-beirut-provides-15900-medical-services/?fbclid=IwAR2-_xbAznKS5Pm32nD8upXzAiVG7wP59LXep_ZUFF1q18JlwVgEPjkGxgo… #Morocco #Beirut #Lebanon #healthcare","['#Morocco', '#healthcare', '#Lebanon', '#Beirut']",
Samaritan's Purse,Sep 1,"In Lebanon, our team is serving in #Beirut following the explosion earlier this month. Our medical team is caring for patients, and our psychosocial support team recently completed a training to empower local women in how to best care for others in crisis. https://sampur.se/34R21YA",['#Beirut'],
zai,Sep 1,"My friend is helping to raise money for the people of Lebanon due to the explosion and with COVID-19, this is a very difficult time. The money raised will go towards food, medical supplies, hygiene kits etc. Click on the link for more info and to donate ",[],
International Medical Corps,Sep 1,"Our courageous team in Lebanon has been through a lot recently—but with your support, they can keep helping those affected by the #BeirutExplosion.

Support their lifesaving work today 
 https://bit.ly/GIVE-IMC-Lebanon…",['#BeirutExplosion'],
kstreetgroupsecurity,Aug 31,"Lebanon, New Jersey—The K Street Group today is offering its condolences and spiritual support to Officer Christopher Laver of the Hackettstown, NJ Police K9 Unit. Sadly, on Wednesday, August 19, 2020, K9 Jada passed away as a result of a medical emergency while on duty.",[],
jouhaina,Aug 31,"Replying to 
@OTVLebanon",[],
♊︎,Aug 31,"if i posted a gofundme link for one of my best friends that has family in lebanon to help them pay for damages to their house & property, medical supplies, etc, would you be interested in donating?",[],
European Commission,Aug 31,"We continue to support #Lebanon with a second EU Humanitarian Air Bridge flight.

It carries 12 tonnes of essential supplies and medical equipment, including a mobile hospital and face masks.
More: https://europa.eu/!bh36pm

#StrongerTogether","['#StrongerTogether', '#Lebanon']",
International Medical Corps,Aug 31,"""I thought I was about to be incinerated.”

Adam Jacovou, our #Lebanon Project Coordinator, was jogging in the port when the #BeirutExplosion happened. Hear his recollection of the moment below ","['#BeirutExplosion', '#Lebanon']",
World Health Organization (WHO),Aug 31,"""Although #Beirut is no longer in the headlines, WHO is continuing to support #Lebanon in the wake of the blast 4 weeks ago, which left more than 6,500 people injured, 300 thousand people homeless & severely damaged critical health infrastructure & medical supplies.""-
@DrTedros","['#Lebanon', '#Beirut']",
Arab American Giving,Aug 31,Tomorrow is Taco Tuesday and we’re partnering with Halal Tacos for our Lebanon Disaster Relief Fund! 50% of all proceeds will go toward urgently airlifting medical and pharmaceutical supplies to Beirut.,[],
,Aug 31,"Anyone in Lebanon that has contact to refugee camps or other humanitarian Organisation? This family onvis in dire need of medical attention
#mutualaid",['#mutualaid'],
EU NEAR,Aug 31,"Today, a second 
#EU Humanitarian Air bridge 
 flight lands in #Beirut, #Lebanon delivering 12 tonnes of essential humanitarian
 supplies &amp; medical equipment, including a mobile hospital & 
 face masks. 

More info
https://europa.eu/!YT38Wu

#WeStandTogether","['#WeStandTogether', '#EU', '#Lebanon', '#Beirut']",
International Medical Corps UK,Aug 31,"""Central Beirut...was just totally catastrophic."" 

Watch Adam Jacvou, our #Lebanon Project Coordinator, recall his experience of the #BeirutExplosion and aftermath below ","['#BeirutExplosion', '#Lebanon']",
Sara Dowse,Aug 31,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon https://map.org.uk/news/archive/post/1149-medical-aid-for-palestinians-declares-healthcare-emergency-across-occupied-palestinian-territory-and-lebanon#.X0xr1-BHZ1I.twitter…,[],
ALMA COVID,Aug 31,As part of the ALMA-TOLL drive to obtain donations we have over 2 tonnes of medical supplies from EBOSZ and will be sent to Lebanon via QATAR airways. These will be utilised by hospitals & medical centers affected by the explosion in Beirut. Dr Walid Ahmar National ALMA President,[],
Linsey Godfrey,Aug 31,"So proud to be an ambassador for 
@INARAorg
 and everything they continue to do on ground zero and surrounding communities in desperate need of medical care as a result of the Beirut explosion. 
Lebanon still needs our help!
#Lebanon #Beirut #BeirutExplosion #INARA","['#INARA', '#BeirutExplosion', '#Lebanon', '#Beirut']",
Jason •,Aug 30,"@salibi_georges
 please ask the former minister about the medicine colloquium exam !! Hundreds of medical doctors are waiting for this exam to be done so we can travel outside Lebanon and work.",[],
"Bassam Osman, MD",Aug 30,"In Lebanon today, medical residents are working for < 0.7 $ / hour.

#MedTwitter",['#MedTwitter'],
Cel (Donate to Lebanon,Aug 30,"Replying to 
@kawashima_ami_",[],
International Medical Corps UK,Aug 30,"Last week, we asked you to send a message of support to our #Lebanon team who have endured so much over the past weeks—and many of you did. 

The team were so touched by the messages they received—that they wanted to send a short one back 
 #WithBeirut","['#WithBeirut', '#Lebanon']",
"Gabrielle Macaron, MD",Aug 30,"Medical care and education is our priority. Help Lebanon rebuild! #TalkAboutLebanon 
@hdf_lb",['#TalkAboutLebanon'],
Lebanon Strong,Aug 30,"We're loading container 5/30 in #Mississauga today! 
Container includes non-perishables, new clothing, school supplies, medical aid and more - all donated by members of the community 
#LebanonStrongCanada #PeopleHelpingPeople #BeirutBlast #Lebanon","['#LebanonStrongCanada', '#BeirutBlast', '#Lebanon', '#PeopleHelpingPeople', '#Mississauga']",
Omar M Ghanem,Aug 30,"Replying to 
@laarhoven_stijn
 @NEndoscopy
 and 2 others",[],
Guy D,Aug 30,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
kat molesworth,Aug 30,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
AlterZahen,Aug 30,"Replying to 
@DavePA99
 @ElieMesso
 and 2 others",[],
Dave,Aug 30,"Replying to 
@ElieMesso
 @CognacJacques
 and 
@Partisangirl",[],
Middle East Inst-NUS,Aug 30,"In addition to operating an environmentally-friendly supermarket, Beit El Baraka also refurbishes homes and arranges medical treatment for those suffering from health conditions. Their work has touched the lives of 180,000 people in 62 parts of Lebanon.",[],
Rotary Clubs Lebanon,Aug 30,"Thank you 
@RotaryD2451
  for sending 1000 kg medical supplies to be distributed to the hospitals who were damaged in #Beirut #Portexplosion ,thread1/3","['#Portexplosion', '#Beirut']",
UNFPALebanon,Aug 30,"Two Mobile Medical Units were deployed to provide reproductive health and psychological first aid services through 
@ALMAKASSED
 & 
@AmelNGO
.
Wath 4 more info 
تم نشر وحدتين طبيتين متنقلتين لتقديم خدمات الصحة الإنجابية والإسعافات الأولية النفسية من خلال جمعية المقاصد وجمعية عامل.",[],
Flisim,Aug 29,"Replying to 
@LeilaBeratto
 and 
@1538med",[],
International Medical Corps,Aug 29,"""Central Beirut...was just totally catastrophic.”

Watch Adam Jacovou, our #Lebanon Project Coordinator, recall his experience of the #BeirutExplosion and aftermath below ","['#BeirutExplosion', '#Lebanon']",
“Nasty” MSAM,Aug 29,"Remember the #Lebanon explosion? 

In the 3 1/2 wks since, the country’s #Coronavirus cases have gone from 5,062 to 15,613 - up 208%

The country is facing medical, economic, & political collapse.
@EmmanuelMacron
 says they’re on the brink of Civil War.","['#Coronavirus', '#Lebanon']",
Peter Wells,Aug 29,"Replying to 
@doris_from
 @RafpolMark
 and 
@ahmedhankir",[],
Doris from Watford,Aug 29,"Replying to 
@peterwells79
 @RafpolMark
 and 
@ahmedhankir",[],
International Medical Corps UK,Aug 29," #Coronavirus cases in Lebanon have doubled since the #BeirutExplosion. That's why our teams are providing hygiene kits 
 and personal protective equipment 
 to help prevent the spread of the virus. 

Support our response 
https://bit.ly/IMC-HELP-LEBANON…","['#BeirutExplosion', '#Coronavirus']",
Andreas Mountzouroulias,Aug 29,"#Greece Shows Solidarity to Suffering #Lebanon with Shipment of Food, Medical Supplies
 
Authorities in #Athens announced recently that they are sending a #Greek Navy vessel carrying food, medicine, medical supplies and construction materials.","['#Athens', '#Greek', '#Greece', '#Lebanon']",
,Aug 29,"Greece Shows Solidarity to Suffering Lebanon with Shipment of Food, Medical Supplies | http://GreekReporter.com https://shar.es/abJxEx",[],
Elizabeth Morley,Aug 29,"MAP declares healthcare emergency across Gaza, West Bank and Lebanon - Latest updates from medical and programme teams in Gaza, West Bank and Lebanon",[],
Omar Ladki عمر اللادقي,Aug 29,"The 
@LebarmyOfficial
 says that Medical needs, medicines and vaccinations accounted for 68% of the aid that reached Lebanon. Honestly from what I’ve been doing on the ground I haven’t seen 68% at all.",[],
Inédith,Aug 29,"Over 300,000 people are leaving Lebanon until the end of the year (unofficial stats), including students, experts, medical staff, intellectuals & so on. None of those will be part of rebuilding the country, it’s scary if you think about it.",[],
MTV English News,Aug 29,"#Lebanese army: Medical needs, medications, and vaccines accounted for 68 percent of the aid that reached #Lebanon","['#Lebanese', '#Lebanon']",
Michael Carr,Aug 29,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
Lawrence Woodward,Aug 29,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
Newsafricanow,Aug 29,Beirut Explosions: Lebanon Renews Thanks to Morocco for Medical Aid,[],
The Church of Jesus Christ of Latter-day Saints,Aug 28,"The humanitarian arm of The Church of Jesus Christ of Latter-day Saints, Latter-day Saint Charities, has donated nearly $2 million to provide desperately needed food and medical supplies to people in Lebanon in response to the August 4, 2020 explosion.",[],
"Michael Lewis, Socialist",Aug 28,"MAP declares healthcare emergency across Gaza, West Bank and Lebanon - Latest updates from medical and programme teams in Gaza, West Bank and Lebanon",[],
Christine Harle,Aug 28,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
Terry Brough #PeaceAndSocialism #VoteLabour,Aug 28,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
TMJ-PA Manuf Jobs,Aug 28,"Don't submit then quit. Apply for jobs like ""Warehouse Worker II"" at Fresenius Medical Care, then look for people you might know at the company. You might be able to reach out to HR directly. Ready to apply? Check out the link in our bio. #SupplyChain #Lebanon, PA","['#SupplyChain', '#Lebanon']",
Morocco World News,Aug 28,"Morocco’s Field Hospital in Beirut Carries Out Successful Surgeries

Morocco’s medical professionals in #Beirut have provided 12,946 medical services for the benefit of 5,800 people.
@MarocDiplomatie
 @Mofalebanon
 @Maroc_eGov
https://moroccoworldnews.com/2020/08/316755/moroccos-field-hospital-in-beirut-carries-out-successful-surgeries/…
#Morocco #lebanon","['#Morocco', '#lebanon', '#Beirut']",
Corfu Κέρκυρα,Aug 28,"Greece Shows Solidarity to Suffering Lebanon with Shipment of Food, Medical Supplies http://dlvr.it/RfXwFb",[],
Lina Abujamra,Aug 28,"Just a few weeks before the #BeirutExplosion we took the initiative to launch a medical clinic to serve the Lebanese people in need of medical attention. Today WE OPENED ITS DOORS! 
Find out more and give at http://livingwithpower.org/global 

#beirut #lebanon #missions #medicalclinic","['#medicalclinic', '#lebanon', '#missions', '#BeirutExplosion', '#beirut']",
qwerty,Aug 28,"Greece Shows Solidarity to Suffering Lebanon with Shipment of Food, Medical Supplies | http://GreekReporter.com https://shar.es/abJu08",[],
Ofer Neiman (UBI - Universal Basic Income Now),Aug 28,Medical Aid for Palestinians declares healthcare emergency across occupied Palestinian territory and Lebanon,[],
INARA,Aug 28,"Due to the rise of #COVID-19 cases in #Lebanon, we are now limiting hospital visits to urgent appointments for our existing cases, and blast wounded children who are in need of immediate medical assessment and diagnosis.
Read more: https://inara.org/beirut-emergency…","['#Lebanon', '#COVID']",
My Soul Delighteth,Aug 28,"The humanitarian arm of The Church of Jesus Christ of Latter-day Saints, Latter-day Saint Charities, has donated more than $1 million to provide desperately needed food and medical supplies to people in Lebanon in response to the August 4, 2020 explosion.",[],
