section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Ayoub Computers,4.5,(88),Computer store,Closed,Hadi Nasrallah Road Al Rabih bldg. Behind Labor Ministry,Opens at 8:30 AM,01 550 500,
Topshop,3.8,(4),Women's clothing store,Closed,Beirut City Centre,Closing soon: 11:00 PM,01 757 088,U.K.-born retailer for apparel & shoes
Vape Shop Lebanon Official,4.7,(67),Vaporizer store,Closed,french road 23,Opens at 10:00 AM,03 752 775,Athletic wear & shoes
Watchthatcorner - The Pre-owned Shop,4.1,(62),Watch store,Closed today,,Opens at 8:00 AM,03 899 988,Retailer for hip apparel & accessories
iSTYLE Apple Premium Reseller,4.3,(102),Electronics store,Closed,Beirut City Center Mall,Opens at 10:00 AM,01 283 989,
Lee,3.5,(4),Clothing store,05 815 026,,Closing soon: 11:30 PM,Closed,Iconic Seattle-based coffeehouse chain
Stop & Shop,4.5,(179),Catering food and drink supplier,Closed,,Opens at 8:00 AM,04 444 225,Supermarket for groceries & more
مكتبة فردان، بيروت,5.0,(1),Pen store,Closed today,,Opens at 8:30 AM,01 555 198,
Burberry,3.8,(5),Clothing store,Closed,Beirut Souks,Opens at 10:00 AM,01 991 111,British luxury apparel & accessories
Better Life Market,4.4,(37),Organic shop,Closed today,Khairallah Khairallah,Opens at 7:00 AM,01 328 485,Supermarket for groceries & more
COS,5.0,(5),Clothing store,Closed,ABC Mall، Verdun,Opens at 10:00 AM,01 757 264,Iconic Seattle-based coffeehouse chain
Naeem Vegetable Shop,3.6,(7),Fruit and vegetable store,Closed,,Opens at 7:00 AM,07 723 457,Classic brand for skateboarding shoes
Happy Toys KHCo,4.2,(18),Toy store,Closed today,"Ahmad Moukhtar Bayhoum,facing Kabalan Carpets",Opens at 10:00 AM,03 219 372,Stylish casual clothing for women
ZARA,4.1,(167),Fashion accessories store,Closed,,Opens at 10:00 AM,01 771 250,On-trend apparel & accessories
Home Centre,4.1,(17),Furniture store,Closed,,Opens at 10:00 AM,76 837 583,Retailer of maternity & baby products
Jimmy Choo,4.0,(1),Shoe store,Closed,"Fakhry Bey Street, Beirut Souks, Downrown Beirut",Opens at 12:30 PM,01 991 111 ext. 595,Designer footwear & luxury accessories
Perle chocolate,4.5,(133),Chocolate shop,Closed,Met7at basha Beirut,Opens at 9:00 AM,03 816 540,Luxury brand for handbags & more
Chloé Beirut Souks,4.0,(1),Women's clothing store,Closed,Beirut Souks Fakhry Bay Street,Opens at 10:00 AM,01 991 111 ext. 580,
Gucci,5.0,(3),Women's clothing store,Closed,"Aïshti by the Sea, Ground Floor",Opens at 10:00 AM,04 717 716,Luxury Italian-designed fashions
Wallis,3.0,(1),Women's clothing store,Closed,Beirut City Centre,Open until 12:00 AM,01 757 082,Stylish casual clothing for women
The Daily Roast,3.9,(13),Coffee shop,Closed,,Opens at 8:00 AM,71 176 685,
Sandy Nour Saifi Store,3.8,(4),Clothing store,Closed today,Saifi Village,Closing soon: 11:00 PM,71 260 506,U.K.-born retailer for apparel & shoes
The Mobile Shop,1.0,(1),Cell phone accessory store,Closed,,Opens at 9:00 AM,81 206 600,Athletic wear & shoes
Salsa Jeans,4.0,(3),Clothing store,Closed,Beirut Souks Majidiye,Opens at 10:00 AM,01 960 153,Retailer for hip apparel & accessories
Sports 4 Ever,4.0,(118),Sportswear store,Closed,,Opens at 9:00 AM,04 540 840,
BEI-METROPOLITA,3.5,(4),Clothing store,Closed today,Horsh Tabet Roundabout,Closing soon: 11:30 PM,01 490 350,Iconic Seattle-based coffeehouse chain
BALENCIAGA,4.6,(13),Women's clothing store,Closed,"Fakhry Bey Street Beirut Souks, Downtown Beirut",Opens at 12:00 PM,01 991 111,High-end designer fashion & accessories
Promod Beyrouth Kaslik,5.0,(2),Women's clothing store,Closed today,,Opens at 8:30 AM,09 641 880,
KADOLEEN Shop,5.0,(1),Children's clothing store,Closed today,"Mar Elias Street, Hiba Building",Opens at 10:00 AM,01 706 807,British luxury apparel & accessories
Florsheim,4.8,(6),Clothing store,Closed today,,Opens at 7:00 AM,01 332 082,Supermarket for groceries & more
Bossini Galaxy Mall,4.2,(11),Clothing store,Closed,Camil Chamoun,Opens at 10:00 AM,01 276 188,Iconic Seattle-based coffeehouse chain
Khzente ya Khzente خزانتي يا خزانتي,4.4,(8),Clothing store,Closed,,Opens at 7:00 AM,03 996 802,Classic brand for skateboarding shoes
Boutique Terrible,3.6,(22),Women's clothing store,Closed today,,Opens at 10:00 AM,01 891 790,Stylish casual clothing for women
Ermenegildo Zegna Boutique,4.1,(167),Clothing store,Closed,"Street, 62, Abdul Malek",Opens at 12:00 PM,01 991 111,Italian-born source for men's fashion
Jaeger-LeCoultre Boutique - Beirut,2.3,(3),Watch store,Temporarily closed,Weygand Street Beirut Souks,Opens at 10:00 AM,01 256 655,Retailer of maternity & baby products
Sports Forever Outlet,4.1,(42),Sportswear store,Closed,,Opens at 10:00 AM,04 444 560,Designer footwear & luxury accessories
iSTYLE Apple Authorised Reseller,3.9,(12),Computer store,Closed today,,Opens at 9:00 AM,01 440 777,Luxury brand for handbags & more
Iskandar Baramili music shop,4.0,(1),Music store,Closed,,Opens at 10:00 AM,01 684 912,
Pointure,4.3,(6),Shoe store,Temporarily closed,,Opens at 10:00 AM,01 336 533,Luxury Italian-designed fashions
Salsa Jeans,3.0,(1),Clothing store,Temporarily closed,,Open until 12:00 AM,01 757 082,Stylish casual clothing for women
VANS Store Karmiel,3.7,(3),Clothing store,Closed,"Big, Ma'ale Kamon St 2",Opens at 10:00 AM,+972 4-660-5571,Classic brand for skateboarding shoes
Per-vurt,5.0,(48),Musical instrument store,Closed today,"Emile Edde (Leon Itani and Mukaddam Building, Store 7",Closing soon: 11:00 PM,03 733 156,U.K.-born retailer for apparel & shoes
Ali Hijazi Tattoo,1.0,(1),Tattoo shop,Temporarily closed,,Opens at 9:00 AM,81 206 600,Athletic wear & shoes
Crocs,4.0,(3),Clothing store,Closed,HaHaroshet St 2,Opens at 10:00 AM,+972 4-657-9193,Retailer for hip apparel & accessories
Games Lounge,4.0,(118),Video game store,04 540 840,"Souk El Raouche, Jnah",Opens at 9:00 AM,Closed,
Max,4.0,(185),Clothing store,Closed today,,Closing soon: 11:30 PM,05 956 436,Iconic Seattle-based coffeehouse chain
Camper,3.3,(3),Shoe store,Closed,"Hazmieh, old damascus road or Camille Chamoun boulevard",Opens at 10:00 AM,03 287 187,Contemporary footwear for adults & kids
Carter's,4.0,(2),Baby clothing store,Closed,22804 כביש,Opens at 10:00 AM,+972 4-982-0478,Standby for bright & basic kids' clothes
CH Carolina Herrera,5.0,(1),Clothing store,Closed,Souk El Tawileh Beirut Souks، Beirut,Opens at 10:00 AM,01 973 698,Designer apparel & accessories for women
U.s. Polo Assn.,5.0,(1),Clothing store,Closed,,Opens at 10:00 AM,01 332 082,Supermarket for groceries & more
Starbucks,4.2,(844),Coffee shop,Closed,Palm Springs,Opens at 10:00 AM,01 757 166,Iconic Seattle-based coffeehouse chain
Hermès,4.4,(102),Leather goods store,Closed today,,Opens at 7:00 AM,01 999 710,"Designer clothing, bags & accessories"
Furla,3.6,(22),Fashion accessories store,Closed,Beirut,Opens at 10:00 AM,01 201 301,Stylish casual clothing for women
Swarovski Beirut City Center,4.3,(48),Costume jewelry shop,Closed,,Opens at 10:00 AM,01 283 950,Italian-born source for men's fashion
Pointure,2.3,(3),Shoe store,Closed today,Beirut,Opens at 10:00 AM,01 800 868,Retailer of maternity & baby products
Dior,3.9,(8),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 991 111,Designer fashion for men & women
Salsa Jeans,3.9,(12),Clothing store,Closed,,Opens at 10:00 AM,01 504 513,Luxury brand for handbags & more
Domtech,4.3,(122),Computer store,Closed today,Mansourieh,Opens at 10:00 AM,04 401 301,
Alshahbandar Resto Cafe,5.0,(1),Coffee shop,Temporarily closed,Beirut,Open until 3:00 AM,70 020 052,Luxury Italian-designed fashions
MAC Cosmetics,1.0,(1),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 203 362,Stylish casual clothing for women
Tony Ward Couture,4.8,(25),Clothing store,Closed today,,Opens at 10:00 AM,01 427 712,Classic brand for skateboarding shoes
The CMY Shop,4.8,(10),Home goods store,Closed today,Beirut,Closing soon: 11:00 PM,71 333 282,U.K.-born retailer for apparel & shoes
Lego,4.8,(4),Store,Closed,,Opens at 10:00 AM,01 983 682,Source for Lego building sets & more
Aldo,3.9,(10),Clothing store,Closed,,Opens at 10:00 AM,01 884 770,Trendy footwear & accessories retailer
Aldo,3.9,(44),Shoe store,Closed,,Opens at 9:00 AM,01 884 770,Trendy footwear & accessories retailer
"A&S Chronora - Rolex Boutique, Downtown Beirut",4.6,(59),Watch store,Closed today,Beirut,Closing soon: 11:30 PM,70 999 304,Iconic Seattle-based coffeehouse chain
Camper,4.4,(9),Shoe store,Closed,Beirut,Opens at 12:00 PM,04 717 716,Contemporary footwear for adults & kids
Ellina Lingerie,5.0,(1),Lingerie store,Closed today,Beirut,Opens at 10:00 AM,01 835 335,Standby for bright & basic kids' clothes
Givenchy Berytus,4.6,(8),Clothing store,Closed,Beirut,Opens at 10:00 AM,03 669 344,Designer apparel & accessories for women
NOIRO CONCEPT STORE,5.0,(2),Clothing store,Closed today,,Opens at 10:00 AM,01 988 799,Supermarket for groceries & more
Beirut Art Shop,4.2,(844),Antique furniture store,Closed,Beirut,Opens at 10:00 AM,03 348 977,Iconic Seattle-based coffeehouse chain
Centrepoint,4.0,(26),Clothing store,Closed today,Beirut,Closing soon: 11:00 PM,01 748 031,"Designer clothing, bags & accessories"
Home Centre,3.9,(587),Furniture store,Closed,"Future Scope, Sin el Fil, Charles Helou Street, Futuroscope building",Opens at 10:00 AM,01 748 031,Stylish casual clothing for women
Converse,3.0,(1),Sportswear store,01 283 950,,Opens at 10:00 AM,Closed,"Mainstay for sneakers, apparel & more"
Centrepoint,4.4,(5),Clothing store,Closed today,"Centrepoint, City Mall, Dora Highway",Closing soon: 11:00 PM,01 748 031,Retailer of maternity & baby products
Foot Locker,4.2,(42),Sportswear store,Closed,"Road, Haroun Hospital",Opens at 10:00 AM,01 757 072,Brand-name athletic shoes & apparel
Pointure,4.2,(124),Shoe store,Closed today,New Naccache Street,Opens at 10:00 AM,04 444 422,Luxury brand for handbags & more
FURLA SHOP,4.3,(122),Fashion accessories store,Closed today,"Verdun Street, ABC Verdun",Opens at 10:00 AM,01 791 491,
Foot Locker,3.6,(101),Shoe store,Temporarily closed,Ha-Kharoshet St 51-67,Closing soon: 11:00 PM,+972 4-841-9226,Luxury Italian-designed fashions
Hermès,1.0,(1),Leather goods store,Closed,Beirut Rafic Hariri International Airport,Opens at 8:00 AM,01 628 000,"Designer clothing, bags & accessories"
Pet Mart,3.9,(84),Pet store,Closed,,Opens at 1:00 PM,04 721 019,Classic brand for skateboarding shoes
Rano's cell,4.3,(4),Cell phone store,Closed today,,Closing soon: 11:00 PM,01 510 007,U.K.-born retailer for apparel & shoes
VILEBREQUIN,4.8,(4),Swimwear store,Closed,,Opens at 12:30 PM,01 970 588,Source for Lego building sets & more
The Mobile shop,3.9,(10),Mobile phone repair shop,Closed,Deir El Nasra,Opens at 8:00 AM,01 206 600,Trendy footwear & accessories retailer
Lacoste Outlet Zahle,3.9,(44),Shopping mall,Closed,,Opens at 9:00 AM,08 805 588,Trendy footwear & accessories retailer
Splash,4.3,(9),Clothing store,Closed today,"Beirut city Center, Hazmieh",Closing soon: 11:00 PM,05 956 436 ext. 500,Iconic Seattle-based coffeehouse chain
CloudSale Shop,4.4,(9),Shopping mall,Closed,Digital District,Opens at 12:00 PM,78 939 364,Contemporary footwear for adults & kids
Homes For Less,4.3,(40),Furniture accessories,Closed,"Facing Monoprix, Jnah",Opens at 10:00 AM,01 845 149,Standby for bright & basic kids' clothes
Lacoste Outlet,4.0,(67),Clothing store,Closed today,,Opens at 10:00 AM,01 680 837,Designer polos with crocodile logos
Skechers,4.7,(3),Shoe store,01 988 799,,Opens at 10:00 AM,Closed today,House-brand athletic & casual shoes
Crocs,4.4,(7),Shoe store,Closed,8533,Opens at 10:30 AM,03 348 977,Iconic Seattle-based coffeehouse chain
Chloé Aishti By The Sea Beirut,4.0,(26),Women's clothing store,Temporarily closed,Seaside Road;Jal El Dib,Closing soon: 11:00 PM,04 717 716 ext. 215,"Designer clothing, bags & accessories"
Bike Security,5.0,(5),Motorcycle shop,Closed today,,Opens at 10:00 AM,70 998 441,Stylish casual clothing for women
IWC Schaffhausen Boutique - Beirut,4.4,(11),Watch store,Closed today,Beirut,Opens at 10:00 AM,01 256 655,"Mainstay for sneakers, apparel & more"
Foot Locker,4.0,(41),Sportswear store,Closed today,Beirut,Open until 12:00 AM,01 757 089,Brand-name athletic shoes & apparel
Plexi Plus,4.2,(6),Home goods store,Closed today,Beirut,Opens at 10:00 AM,04 400 123,Brand-name athletic shoes & apparel
The Body Shop,4.2,(124),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 757 242,"Shower gels, creams, soaps & more"
The Body Shop,4.3,(122),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 757 263,"Shower gels, creams, soaps & more"
Sandro,3.6,(101),Clothing store,Closed,Beirut,Opens at 10:00 AM,04 416 000,Luxury Italian-designed fashions
La Perla,5.0,(1),Lingerie store,Closed,Beirut,Opens at 8:00 AM,01 988 885,High-end designer lingerie & loungewear
Bobbi Brown,4.0,(4),Cosmetics store,Closed,,Opens at 1:00 PM,01 346 578,Classic brand for skateboarding shoes
Forever 21,4.4,(5),Clothing store,Closed today,,Open until 12:00 AM,01 283 240,Trendy clothing & accessories retailer
Lacoste,4.1,(10),Clothing store,Closed,,Opens at 9:00 AM,04 402 014,Designer polos with crocodile logos
Salsa Jeans,4.0,(1),Clothing store,Closed,Beirute,Opens at 10:00 AM,09 644 033,Trendy footwear & accessories retailer
Andrea Wazen,4.0,(3),Shoe store,Closed today,Beirut,Opens at 9:00 AM,01 563 594,Trendy footwear & accessories retailer
MAC Cosmetics,4.0,(8),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 808 194,Iconic Seattle-based coffeehouse chain
MAC Cosmetics,3.0,(1),Cosmetics store,Closed,Beirut,Opens at 10:00 AM,01 282 406,Contemporary footwear for adults & kids
Beirutink.Tattoo,5.0,(4),Tattoo shop,Temporarily closed,,Opens at 10:00 AM,76 768 586,Standby for bright & basic kids' clothes
Billabong,5.0,(1),Surf shop,Closed today,Haifa,Closing soon: 11:00 PM,+972 4-840-0386,Designer polos with crocodile logos
Michael Kors,5.0,(1),Fashion accessories store,Closed,"Dbaye Highway Door EU3834, Store 0003",Opens at 10:00 AM,04 416 000,Classic designer apparel & bags
Diane Von Furstenberg,4.4,(7),Women's clothing store,Closed,Beirut,Opens at 12:00 PM,04 717 716,Women's high-end fashions & accessories
Michael Kors,4.0,(26),Fashion accessories store,Closed,Beirut,Opens at 10:00 AM,01 212 888,Classic designer apparel & bags
MAC,5.0,(5),Cosmetics store,Closed today,Beirut,Open until 12:00 AM,01 757 093,Stylish casual clothing for women
Sports 4 Ever,4.1,(18),Sportswear store,Closed,,Opens at 9:00 AM,09 957 164,"Mainstay for sneakers, apparel & more"
Billabong outlet,4.3,(3),Sportswear store,Closed today,,Closing soon: 11:00 PM,+972 4-840-0386,Brand-name athletic shoes & apparel
Diesel,2.5,(2),Men's clothing store,Closed today,Haifa,Opens at 10:00 AM,+972 4-822-4242,"Edgy, fashion-forward clothing"
Casio Service Center - Sundial Ltd.,5.0,(1),Electronics store,Closed today,Zalqa,Opens at 10:00 AM,04 711 894,"Shower gels, creams, soaps & more"
Lacoste ABC Ashrafieh,4.3,(122),Shopping mall,Closed,,Opens at 10:00 AM,01 323 755,Designer polos with crocodile logos
Furla,3.6,(101),Fashion accessories store,Closed,Dbayeh Matn District Jounieh Highway Matn,Opens at 10:00 AM,04 403 703,Luxury Italian-designed fashions
Diesel,2.7,(11),Clothing store,Closed,Kiryat Bialik,Opens at 8:00 AM,+972 4-876-3084,"Edgy, fashion-forward clothing"
Billabong,3.9,(8),Clothing store,Closed,Kiryat Bialik,Opens at 1:00 PM,+972 4-689-2365,Stylish apparel for surfers & beachgoers
Zara,3.5,(469),Clothing store,Closed,Kiryat Bialik,Opens at 10:00 AM,01 283 240,On-trend apparel & accessories
Clark's - Shoes,3.3,(7),Shoe store,Closed,Haifa,Opens at 9:00 AM,+972 4-832-1176,Classic footwear plus handbags & more
"A&S Chronora - Rolex Boutique, Old Souk Street",4.1,(34),Watch store,Temporarily closed,Fouad Chehab,Opens at 10:00 AM,09 910 980,Trendy footwear & accessories retailer
BillaBong,3.5,(4),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-857-6474,Stylish apparel for surfers & beachgoers
BillaBong,4.2,(14),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-832-5585,Iconic Seattle-based coffeehouse chain
Foot locker outlet חוצות המפרץ,3.8,(25),Clothing store,Closed,Haifa,Opens at 9:30 AM,+972 4-853-9947,Contemporary footwear for adults & kids
VANS Store Haifa,4.3,(63),Clothing store,Temporarily closed,Haifa,Closing soon: 11:00 PM,76 768 586,Classic brand for skateboarding shoes
Sandy Nour,5.0,(6),Clothing store,Closed today,Beirut,Closing soon: 11:00 PM,70 885 955,Designer polos with crocodile logos
Dior,4.0,(4),Clothing store,04 416 000,Haifa,Opens at 10:00 AM,Closed,Designer fashion for men & women
MAC Cosmetics,4.1,(29),Cosmetics store,Closed,Kiryat Bialik,Closing soon: 11:00 PM,+972 4-689-0860,Women's high-end fashions & accessories
City Mall,4.2,"(5,898)",Shopping mall,Closed,,Open until 12:00 AM,01 905 555,Airy shopping venue with a movie theater
L'elegance chocolate Tyr,4.9,(7),Patisserie,Closed,Tyr,Opens at 8:00 AM,03 197 444,Stylish casual clothing for women
Brands For Less,4.1,(88),Outlet mall,Closed,Mansourieh,Opens at 10:00 AM,03 728 203,"Mainstay for sneakers, apparel & more"
SWAROVSKI,4.3,(85),Fashion accessories store,Closed today,Nazareth,Closing soon: 11:00 PM,+972 4-646-6265,High-end crystal jewelry & accessories
inDesign LAB |Kitchen & Cabinet,5.0,(2),Contractor,Closed today,ٍSaid,Opens at 10:00 AM,71 112 389,"Edgy, fashion-forward clothing"
LeMall Dbayeh,4.3,"(4,588)",Shopping mall,Closed,Dbayeh,Opens at 10:00 AM,04 408 111,"Shower gels, creams, soaps & more"
Rana Salam Studio,5.0,(5),Graphic designer,Closed today,,Opens at 10:00 AM,01 446 216,Designer polos with crocodile logos
Carrefour - City Center,4.3,"(3,632)",Hypermarket,Closed,,Open until 12:00 AM,01 296 300,Luxury Italian-designed fashions
Carrefour - Citymall,4.1,(474),Grocery store,Closed,,Open until 12:00 AM,01 905 100,"Edgy, fashion-forward clothing"
Carrefour Market,4.0,(207),Supermarket,Closed,,Opens at 8:00 AM,05 557 741,Stylish apparel for surfers & beachgoers
Carrefour Town Center - Zouk Mosbeh,4.2,(697),Hypermarket,Closed,,Opens at 8:00 AM,09 213 626,On-trend apparel & accessories
Creative Space Beirut,4.7,(17),Fashion design school,Closed today,Beirut,Opens at 9:00 AM,81 326 773,Classic footwear plus handbags & more
Topshop,3.7,(331),Women's clothing store,Closed,Amsterdam,Opens at 12:00 PM,+31 20 344 9440,U.K.-born retailer for apparel & shoes
Ariz souvenir shop street,5.0,(1),Souvenir store,06 444 174,Ariz - Baalbeck Rd,,Closed today,
One Dollar Shop,3.6,(11),Store,01 353 035,,,Closed today,
One dollar shop,3.8,(363),Store,76 837 583,,Opens at 10:00 AM,Closed,
Stop And Shop,4.2,(283),Supermarket,Closed,,Opens at 7:00 AM,09 217 241,Supermarket for groceries & more
Al Israa $1 shop,3.2,(5),Home goods store,Closed,,Opens at 8:30 AM,03 408 871,
TOYS 4 LESS - Kaslik,4.9,(21),Toy store,Closed,Kaslik,Opens at 10:00 AM,09 637 191,
Twinkle Shop,4.0,(4),Fashion accessories store,Closed today,Zgharta - Ehden Rd,Opens at 9:00 AM,70 935 470,
Crazy 1$ Shop,5.0,(4),Home goods store,03 435 429,,Closing soon: 11:00 PM,,
Vertico,3.4,(180),Women's clothing store,Closed today,Jounieh,Open until 1:00 AM,09 938 838,Designer apparel & fragrance retailer
Jungle Pets,4.2,(53),Pet store,Closed today,,,03 013 556,
ZARA,4.2,(525),Fashion accessories store,Closed,Kaslik,Opens at 10:05 AM,09 225 330,On-trend apparel & accessories
Coffee trail,4.9,(19),Coffee shop,,,Open until 12:00 AM,03 588 285,
@ Yasmine's Shop,3.0,(1),Home goods store,Closed today,Sahel Aalma,,03 504 718,
Crazy 1$ shop,4.5,(77),Home goods store,Closed,Unnamed Road,Opens at 9:00 AM,81 749 556,
Moustache Kaslik,4.0,(2),Outlet store,Closed,"Kaslik, Sea side Mount Lebanon",Opens at 12:00 AM,09 224 436,
Elegant 2 Ladies Shop,5.0,(1),Women's clothing store,Closed,,Opens at 10:00 AM,06 464 880,
KITE - BEACH SHOP,3.9,(7),Clothing store,,,Open until 12:00 AM,03 784 858,
Eldorado Shopping Center,3.9,(186),Clothing store,Closed today,,Open until 12:00 AM,09 542 153,"Shower gels, creams, soaps & more"
ROMAN Spices & Pulses,4.1,(36),Spice store,Closed,Jounieh - Beirut Hwy,Open until 12:00 AM,76 482 062,
Glass Shop,3.0,(1),Home goods store,Closed,Jbail - Aannaya Rd,Opens at 8:00 AM,09 542 780,
Silvermoon Shop,5.0,(1),Fashion accessories store,06 444 174,,,Closed today,
The CMY Shop,4.8,(10),Home goods store,Closed today,Beirut,,71 333 282,
Power Shop,4.0,(1),Vitamin & supplements store,Closed,,Opens at 10:00 AM,03 428 524,
Abouchabke Toys And Deco,4.3,(48),Toy store,Closed today,Jbeil - Jounieh Hwy,Opens at 7:00 AM,09 646 471,Supermarket for groceries & more
Shop Right - Supermarket,3.0,(3),Grocery store,Closed,,Closing soon: 11:00 PM,03 408 871,
One dollar shop _ chlifa,4.3,(3),Store,09 637 191,,Opens at 10:00 AM,Closed,
Champ Shop,3.3,(19),Sportswear store,Closed today,,Closing soon: 11:00 PM,70 935 470,
Springfield Tripoli,4.4,(52),Clothing store,Closed,Tripoli,Opens at 10:00 AM,06 443 881,
1$ Shop,1.0,(1),Appliance store,Closed,,Opens at 9:00 AM,09 938 838,Designer apparel & fragrance retailer
Lucy's Shop,5.0,(5),Store,Closed,Kfour,Opens at 10:00 AM,03 443 565,
Salsa Jeans,4.0,(1),Clothing store,Closed,Beirute,Opens at 10:00 AM,09 644 033,On-trend apparel & accessories
Al Bazar Shopping,4.9,(19),Electronics store,,,Open until 12:00 AM,09 917 960,
Straight,4.7,(14),Clothing store,Closed today,,,03 504 718,
EMIA - industrual parts shop,5.0,(1),Industrial supermarket,Closed today,,Opens at 9:00 AM,03 914 988,
MNS SHOP,4.5,(4),Electronics store,Closed,,Opens at 8:00 AM,71 595 548,
Wouroud Flower Shop Jounieh,4.3,(12),Florist,Closed,Jounieh,Opens at 9:00 AM,03 466 876,
Alphapets,4.8,(45),Pet store,Closed today,Adma w Dafnah,Open until 12:00 AM,70 950 807,
One Stop Shop,5.0,(1),Clothing store,Closed today,Jdideh Main Road Halba,Open until 12:00 AM,76 384 517,"Shower gels, creams, soaps & more"
Columbus for Military Uniforms & Accessories,4.5,(24),Clothing store,Closed,Tripoli,Opens at 9:00 AM,06 433 024,
Accessorize,3.0,(1),Gift shop,09 542 780,,Opens at 8:00 AM,Closed,
Cosmo Leb,4.2,(15),Clothing store,Closed today,Kaslik,,71 017 011,
le crazy chocolate,4.8,(5),Chocolate shop,Closed today,Haret Sakher,,09 640 335,
Home bazaar lb,4.1,(9),Kitchen supply store,Closed,,Opens at 11:00 AM,70 000 453,
Mr Phone,3.4,(21),Electronics store,Closed today,Jounieh,Opens at 7:00 AM,09 932 991,Supermarket for groceries & more
WINTER SPORT SKI SHOP,4.7,(3),Clothing store,Closed,,Open until 7:00 AM,09 341 103,
The party shop,3.0,(2),Home goods store,Closed today,Unnamed Road,Opens at 10:00 AM,03 133 422,
adidas Store Kaslik,4.7,(11),Sporting goods store,Closed,,Opens at 12:00 PM,09 638 574,
ALBERTO SHOP,4.3,(28),Cosmetics store,Closed,,Opens at 9:30 AM,03 360 151,
ARMANDO SHOP,5.0,(2),Men's clothing store,Closed today,,Opens at 9:00 AM,71 188 778,Designer apparel & fragrance retailer
ICatching,5.0,(1),Women's clothing store,Closed,Byblos,Opens at 10:00 AM,70 577 748,
Sports Experts,3.7,(10),Sportswear store,Closed,,Opens at 9:00 AM,09 333 555,On-trend apparel & accessories
The cell shop,4.0,(3),Electronics store,Closed today,,Open until 12:00 AM,06 512 556,
Pellini,4.3,(79),Men's clothing store,Closed today,Jounieh,,09 913 483,
Coco Mazaya - Shisha Shop Narjile,5.0,(3),Store,Closed today,,Opens at 9:00 AM,70 301 077,
CLARKS SHOES,4.1,(16),Shoe store,Closed today,Jounieh,Opens at 8:00 AM,09 935 287,
Anna Maria Shop,5.0,(2),Store,Closed,,Open until 12:00 AM,03 933 149,
Assi for Hunting,4.1,(22),Hunting store,Closed today,Jbeil - Jounieh Hwy,Open until 12:00 AM,09 913 710,
Macrotronics,4.7,(126),Computer store,Closed today,Kfarehbab Main Road,Open until 12:00 AM,09 853 008,"Shower gels, creams, soaps & more"
SESOBEL Shop Zouk Mikael,4.5,(24),Store,Closed today,Unnamed Road,Opens at 9:00 AM,09 215 950,
My Baby - Baby Boutique,5.0,(4),Baby store,Closed today,Sea Side Rd,Opens at 8:00 AM,09 540 579,
Luxury Shop,4.2,(15),Clothing store,Closed today,,,70 338 833,
light and easy,4.8,(5),Health food store,Closed today,Tripoli,,03 639 728,
4x4 coffee shop,4.5,(26),Coffee shop,Closed,mina,Open until 12:00 AM,70 442 035,
Librairie Antoine Metro Superstore,4.8,(4),Book store,Closed today,Ghazir,Opens at 7:00 AM,09 852 463,Supermarket for groceries & more
Sports Experts Kaslik,4.4,(26),Sporting goods store,Closed,Kaslik,Opens at 9:30 AM,09 223 555,
Disc Jockey Music Shop,4.6,(7),Music store,Closed today,Zouk Mickael,Opens at 10:00 AM,09 219 002,
Xpress Copy center,4.7,(11),Copy shop,Closed today,Juniyah,Opens at 12:00 PM,09 638 554,
Double R Phone Shop,5.0,(1),Cell phone store,03 360 151,,Opens at 9:30 AM,Closed,
Snow Cream - Parlor & Coffee Shop,4.5,(61),Ice Cream,Closed today,Faraiya,Closing soon: 11:00 PM,09 320 620,Designer apparel & fragrance retailer
DVD SHOP,4.8,(9),DVD store,Closed today,,Opens at 10:00 AM,79 111 481,
Metallica,4.6,(10),Clothing store,Closed today,Jbail - Aannaya Rd,Opens at 9:00 AM,76 843 445,On-trend apparel & accessories
Miss young clothing shop,4.0,(3),Clothing store,Closed today,,Open until 12:00 AM,09 546 359,
Boutros Boutros shop,3.5,(6),Tool store,09 913 483,Batroun - Tannourine Rd,,Closed today,
Nakhle.Ets Kaslik,5.0,(9),Women's clothing store,Closed today,Sarba,Opens at 9:00 AM,09 640 303,
EMIA - industrual parts shop,4.1,(16),Industrial supermarket,Closed today,Qartaba,Opens at 8:00 AM,03 914 988,
ALOE SHOP,5.0,(2),Beauty supply store,Closed today,Tripoli,Open until 12:00 AM,70 318 929,
TopArabica.com,4.7,(27),Women's clothing store,Closed today,Qlayaat,Open until 12:00 AM,76 191 121,
Dee Homemade Treats,5.0,(7),Cake shop,Closed,"Okaibe, Baqaq Ed Dine",Opens at 10:00 AM,70 963 480,"Shower gels, creams, soaps & more"
5ouza3balat,4.2,(17),Gift shop,Closed today,,Opens at 9:00 AM,76 393 363,
Republic of Sports - the house,4.7,(52),Snowboard shop,Closed,,Opens at 7:30 AM,03 999 836,
