section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Lebanese German University,3.8,(22),University,Main,Closed today,09 938 938,http://www.lgu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Economical Sciences And Business Administration | Branch 2,3.5,(12),Public university,,,01 201 766,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=11,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon, Dekwaneh Campus",4.5,(10),University,"Behind Municipality, Dekwaneh,",,01 689 306,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arab Open University, Lebanon",4.1,(29),University,,Closed today,01 392 139,http://www.aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Science,3.7,(36),University,,Closed today,01 680 248,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese American University, Byblos Campus",4.8,(103),Private university,,,09 547 254,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
West Hall - American University of Beirut,4.8,(4),University,,,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - CST campus,4.6,(30),University,,Closed today,01 421 302,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ESA Business School,4.5,(42),University,289,,01 373 373,https://www.esa.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Architecture,4.7,(6),University,,Closed today,01 218 717,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese International University, Mount Lebanon Campus",4.5,(15),University,,Closed today,01 490 543,http://liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty Of Agronomy And Veterinary Medicine,3.4,(11),Public university,,Closed today,01 484 131,http://sisol.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Tourism And Hospitality,5.0,(10),University,,Closed today,01 857 285,https://ul.edu.lb/faculte/branches.aspx?facultyId=18,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Of Fine Arts,4.0,(19),University,,Closed today,01 387 911,http://www.ul.edu.lb/faculte/branches.aspx?facultyld=10,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese Canadian University, Hadath",4.5,(2),University,,Closed today,01 575 700,,,
AOU Antelias,4.8,(5),University,AOU,Closed today,04 404 101,http://aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Central Administration,5.0,(6),University,"Badaro, Museum",Closed today,01 612 830,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Centre Science du Language et de la Communication,4.3,(8),Public university,Lebanese University - Faculty of Architecture,Closed today,70 976 388,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic University Imam al-Auzā'ī,4.2,(91),Private university,Beirut - Municipal Stadium Street - Yasmin Building,Closed today,01 705 080,http://ouzai.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université Saint Joseph - Campus des Sciences Médicales CSM // University Saint Joseph​ - Medical Science Campus,4.7,(23),Medical school,Damascus,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese International University (Block G),4.8,(4),University,,Closed today,01 706 881,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon, Kaslik Campus",4.0,(8),University,,,09 211 072,http://www.aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Académie Libanaise des Beaux Arts,4.6,(23),Private university,Sin El Fil,Closed today,01 502 370,http://www.alba.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUL university,5.0,(1),University,,Closed today,01 689 306,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Sciences and Fine Arts,3.7,(36),University,,Closed today,01 680 248,,,
Lebanese University - Faculty of Litterature,3.6,(10),University,,,01 483 013,http://www.ul.edu.lb/flsh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty of Law,3.5,(4),University,,,01 350 000,,,
Lebanese University - Ecole Doctorale,4.6,(30),University,,Closed today,01 421 302,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USAL - University Of Sciences And Arts In Lebanon,4.8,(12),University,Airport Road,Closed today,01 453 003,http://www.usal.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Arts, Sciences and Technology University in Lebanon (Sin El Fil Campus)",1.0,(1),University,,Closed today,01 218 717,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Usj -faculty Of Business Administration&managment,3.0,(2),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Sagesse university,3.4,(11),Private university,,Closed today,01 294 442,http://uls.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Humanities,5.0,(10),University,,Closed today,01 612 830,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Technology, Halat Campus",3.9,(18),University,,Closed today,09 478 144,http://www.aut.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Faculty of Information,1.0,(1),University,,Closed today,01 792 471,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=9,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Information 2,3.8,(19),University,,Closed today,01 882 023,http://www.fi2.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
MUBS,5.0,(1),University,,Closed today,01 612 830,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Engineering II,4.6,(42),Public university,,Closed today,04 872 205,http://ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al Maaref University,4.5,(19),University,Airport Bridge,Closed today,01 820 930,http://mu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Saint Joseph University - Huvelin,4.7,(23),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Pigier - University,4.8,(4),University,,Closed today,01 447 899,http://pigierme.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St Joseph University & Cathedral,5.0,(6),University,,,09 211 072,,,
AUB CHSC Gate,3.6,(10),Private university,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
St. Joseph Univesity,5.0,(1),University,,Closed today,01 689 306,,,
La Sagesse University Faculty of Hospitality Management,4.6,(19),University,,Closed today,01 447 444,http://www.shi.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Doctoral School of Literature, Humanities & Social Sciences. Lebanese University",5.0,(1),University,,,01 489 684,https://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University Naccache,5.0,(3),University,,,04 412 448,,,
عمادة كلية الآداب والعلوم الإنسانية في الجامعة اللبنانية,3.5,(4),Public university,,Closed today,01 483 012,http://www.ul.edu.lb/flsh,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUCE - Baouchrieh Campus (American University of Culture & Education),4.7,(3),University,Camil Chamoun,Closed today,01 689 492,http://www.auce.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
American University of Culture and Education,4.0,(2),University,,Closed today,03 959 543,http://www.auce.edu.lb/contact-us,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jinan Univeristy Office,3.0,(2),University,,Closed today,01 743 749,http://www.jinan.edu.lb/pages/en/Beirut-Office,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université pour Tous/UPT,3.4,(11),Open university,,Closed today,01 421 800,https://www.usj.edu.lb/upt/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University,5.0,(10),University,,Closed today,03 919 678,http://www.balamand.edu.lb/main/Pages/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Doctoral School Of Law, Political, Administrative And Economic Sciences - Lebanese University",3.9,(18),University,,Closed today,09 478 144,,,
C & E - University,5.0,(1),University,,Closed today,01 792 471,,,
Lu - Unesco - University,3.0,(3),University,,Closed today,03 666 690,,,
LU University Faculty Of Science 4th Branch,3.7,(6),University,,Closed today,08 812 553,https://www.ul.edu.lb/faculte/branch.aspx?branchId=20,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Mutuelle Profs - Université Libanaise,4.6,(42),Public university,,Closed today,01 841 348,,,
LAU Lower Gate,3.8,(8),University,,Closed today,01 786 456,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Payables,4.7,(23),University,,Closed today,01 421 000,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Law,3.8,(5),University,,Closed today,04 712 052,http://droit.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Forn L Chebbak,4.0,(4),Public university,,,09 211 072,,,
Lebanese University - Education,4.6,(9),University,,Closed today,01 292 981,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=7&lang=1,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University of Tourism,4.0,(2),University,,Closed today,01 687 229,http://www.tourisme-lb.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ULF Clemenceau,5.0,(1),University,,Closed today,01 378 799,http://ulf.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Medical College,5.0,(1),University,,,01 489 684,,,
Munib and Angela Masri Comex,5.0,(3),University,,,04 412 448,,,
Lebanese Univerity,3.5,(4),University,"33°52'09.1""N 35°32'10.2""E",Closed today,01 483 012,,,
Lebanese University Faculty Of Pedagogy,4.8,(6),University,,Closed today,01 785 651,,,
LAU beirut,4.4,(16),University,,Closed today,01 786 456,http://lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ISSAE Cnam Liban,4.0,(20),University,"Maurice Barres, Batrakiyeh, Zkak El Blat",Closed today,01 360 027,http://www.cnam-liban.fr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University,3.4,(11),University,Maurice Barres,Closed today,01 421 800,,,
Faculty of Business Administration,5.0,(10),University,,Closed today,03 919 678,,,
Faculty of Medical Sciences - Lebanese University,4.0,(2),Medical school,,Closed today,05 463 581,https://www.ul.edu.lb/faculte/branches.aspx?facultyId=15,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Holy Spirit University of Kaslik, Zahle Campus Lebanese Maronite Order",4.1,(17),Private university,,Closed today,08 932 132,http://www.usek.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Agriculture,3.7,(9),College of agriculture,George Matta,Closed today,01 484 130,http://www.ul.edu.lb/faculte/branches.aspx?facultyId=13,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu- Science - Ghobeiry - University,4.0,(1),University,,Closed today,08 812 553,,,
Imam El Ouzaii Business Sch. - University,4.1,(7),University,,Closed today,01 841 348,,,
Lu - Social Science - Kraytem - Universi,4.3,(3),University,,Closed today,01 786 456,,,
Université Saint-Joseph de Beyrouth- Campus des sciences humaines,4.7,(3),University,,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty of Law,3.9,(8),Public university,,Closed today,04 712 052,,,
AUCE (American University of Culture & Education),4.0,(20),Private university,"Tayouneh Omar Beyhum St., Badaro",Closed today,03 959 543,http://www.auce.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USJ - Faculty Of Engineering,4.4,(7),University,,Closed today,01 421 317,http://www.fi.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Balamand University,4.6,(19),Private university,,Closed today,01 575 700,http://www.balamand.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu - Education - Baouchriye - University,3.4,(5),University,,Closed today,01 378 799,,,
Lu - Humanities - Fanar - University,4.8,(5),University,,,01 489 684,,,
Faculty Of Law And Political And Administrative,4.0,(1),University,,,04 412 448,,,
Lebanese University - Faculty of Fine Arts,3.9,(13),College,,Closed today,05 463 516,http://ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Université Saint-Joseph, Campus des Sciences Sociales",4.1,(18),University,Huvelin,Closed today,01 421 000,https://css.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Arab Open University - Zahle Branch,3.0,(1),University,,Closed today,08 829 360,http://www.aou.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"University of Balamand, Faculty of Health Sciences. Achrafieh",4.0,(3),School,,Closed today,01 562 108,http://balamand.edu.lb/home/Pages/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Science and Technology, Zahlé Campus",3.8,(12),University,,Closed today,08 930 894,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of economics and business administration - Lebanese University,4.5,(2),Public university,,Closed today,05 463 624,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Makassed Nursing - University,4.6,(10),University,,Closed today,01 646 505,http://nursingschool.almakassed.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Issam Fares Institute for Public Policy and International Affairs,4.1,(17),University,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cnam University Bikfaya,5.0,(6),University,,Closed today,04 981 321,http://isae.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
LU - Faculty of Engineering III,4.5,(14),University,,Closed today,05 463 402,http://www.ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USJ - Zahleh,5.0,(1),University,,Closed today,08 803 325,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu - Roumie - University,3.0,(4),University,,Closed today,04 872 208,http://ulfg.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Beirut Arab University - Faculty Of Medicine,3.8,(5),Medical school,,Closed today,01 300 110,https://www.bau.edu.lb/Faculty/Medicine,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - General Administration,4.0,(5),Public university,,Closed today,01 612 830,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty Of Agriculture - Beit Meri - Lebanese University,3.0,(3),University,,Closed today,03 959 543,,,
MUBS - Continuing Education Center,4.4,(7),University,,Closed today,04 719 108,http://mubs.edu.lb/uctd.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
UL Beaux Arts2,4.6,(19),Public university,Chebeck,Closed today,01 575 700,,,
UL Faculty of Law-Dean Office,3.4,(5),Public university,,Closed today,01 384 149,http://droit.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Global University, Doha Campus",4.9,(29),University,Doha Aramoun,Closed today,01 358 058,http://www.gu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Francel - University,5.0,(1),University,,,04 412 448,,,
AUB Bliss Gate,4.0,(5),Private university,,Closed today,01 350 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUB Sea Gate,4.3,(6),Private university,,Closed today,01 421 000,http://www.aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Talal and Madiha Zein AUB-Innovation Park,5.0,(1),University,"BDD1082, Nassif Yazigi",Closed today,78 898 692,https://www.aub.edu.lb/ipark/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu- Fine Arts - Raouche - University,4.0,(3),University,,Closed today,01 562 108,,,
Lu - Dentistry - Hadath University,5.0,(2),Public university,,Closed today,05 463 514,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Antonine University, Campus of Zahleh - Bekaa",4.3,(10),Private university,,Closed today,08 902 020,http://www.ua.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lu - Media - Mar Elias - University,4.0,(2),University,,Closed today,01 646 505,,,
الجامعة اللبنانية - كلية التربية,4.1,(17),University,Unnamed Road,Closed today,01 350 000,,,
Lebanese University,1.0,(1),University,,Closed today,04 981 321,,,
"Lebanese International University, Rayak Campus",4.0,(8),University,,Closed today,08 901 666,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
C & E American University,5.0,(2),University,,Closed today,01 689 412,,,
Faculty of law political and administrative sciences,4.5,(2),Public university,,Closed today,01 384 133,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Pharmacy - Lebanese University,4.5,(2),University,Hadath Baabda Jabal Lubnan,Closed today,05 463 367,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic Studies Center - University,1.0,(2),University,,Closed today,01 612 830,,,
Lu - Tourisim - Dekouane - University,5.0,(1),University,,Closed today,03 959 543,,,
Hitti Building,4.4,(7),University,El Hussein,Closed today,04 719 108,,,
Filière,5.0,(2),University,,Closed today,01 575 700,,,
Armenian Evangelical College,5.0,(7),University,,Closed today,01 349 816,,,
Medical university pharmacy,5.0,(1),University,,Closed today,05 480 886,,,
حوزة الرسول الأكرم(ص)، جامعة المصطفى العالمية,3.7,(3),Private university,,Closed today,04 412 448,,,
Barkley's - University,1.0,(1),University,,Closed today,01 350 000,,,
Antonine University,4.3,(6),University,Ablah-Rayak Main Rd,Closed today,08 902 020,http://www.ua.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese university,5.0,(1),University,,Closed today,78 898 692,,,
AUB OSB (Business) Gate,3.8,(5),Private university,,Closed today,01 562 108,,,
C & E American University - Sabaa Al Khi,5.0,(2),University,,Closed today,05 463 514,,,
USJ CIS,4.5,(21),University,Berytec building,Closed today,01 421 000,https://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Aul Dekwaneh University,4.0,(1),School,قضاء المتن Mount Lebanon Governorate,Closed today,01 689 306,http://aul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Modern University for Business and Science (MUBS),4.8,(4),University,"Ghorayeb Street,, Ghraizi Building",Closed today,05 556 628,http://mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
IESAV,4.7,(3),University,,Closed today,01 421 056,http://iesav.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"University of Balamand, Koura Campus",4.4,(119),University,,Closed today,06 930 250,http://www.balamand.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
AUB - Medical Gate,4.3,(7),University,,Closed today,01 350 000,http://aub.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
USJ - IGE,4.5,(2),University,Unnamed Road,Closed today,01 421 392,https://ige.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Islamic University of Lebanon,4.3,(41),University,,Closed today,05 807 711,http://www.iul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"University of Balamand - UOB, Souq El Gharb Aley Campus",5.0,(5),University,,Closed today,05 272 078,http://www.balamand.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanses University -Health Faculty,5.0,(1),University,,Closed today,03 959 543,,,
Lu - Business And Ec. - Aley - University,3.3,(6),University,,Closed today,05 556 145,,,
International University of Beirut,5.0,(1),Educational institution,,Temporarily closed,01 706 881,http://www.liu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Institute of Applied Sciences and Economics,3.7,(7),University,,Closed today,01 349 816,http://depinfo.isae.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University FSPII,5.0,(1),University,Unnamed Road,Closed today,05 480 886,,,
Faculté Des Sciences USJ,5.0,(3),University,Mar Roukos,Closed today,01 421 368,http://www.fs.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - LU,1.0,(1),University,,Closed today,01 350 000,,,
Lebanese University Deanship,4.3,(6),University,George Matta,Closed today,08 902 020,,,
Beirut Arab university - main office,4.0,(1),School,,Closed today,01 300 110,http://www.bau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
lebanese university,3.8,(5),University,,Closed today,01 562 108,,,
Centre De Langues Et De Traduction,5.0,(2),Public university,Unnamed Road,Closed today,05 463 514,,,
University of Balamand - Faculty of Health Sciences,4.5,(21),University,Emile Eddeh,Closed today,01 421 000,,,
"University of Balamand ,Dikwaneh campus",4.0,(1),University,Emile Eddeh,Closed today,01 689 306,,,
Bir Hassan Technical College - Universit,3.8,(10),University,,Closed today,01 850 272,https://www.bhtinstitute.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ABTS Lebanon (Arab Baptist Theological Seminary) كلية اللاهوت المعمدانية العربية,4.7,(7),Private university,Hay Blata Mansorieh Maten,Closed today,04 400 250,http://www.abtslebanon.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Beirut Arab University, Campus Bekaa",3.5,(4),University,,Closed today,08 543 051,http://bau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Institute Of Fine Arts and Architecture - 1st Branch,4.3,(7),School,,Closed today,05 463 517,http://www.ul.edu.lb/default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
National Protestant College,4.2,(21),University,,Closed today,05 436 902,http://www.npc.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Phoenicia University,4.3,(41),Educational institution,,Temporarily closed,05 807 711,,,
Holy spirit university of kaslik Med school,5.0,(5),University,"St. Charbel, Hboub",Closed today,09 600 000,,,
University,5.0,(1),School,,Closed today,03 959 543,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Jinan University,4.4,(54),University,Al Sekeh Al Baida,Closed today,06 447 906,http://www.jinan.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Science and Technology, Bhamdoun Campus",5.0,(1),University,"Main Road, Near Bank Audi",Temporarily closed,05 260 300,http://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese university / Ecole doctorale,3.7,(7),School,Habib Bacha El Saad,Closed today,01 349 816,http://ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Modern University for Business and Science,4.2,(5),Private university,,Closed today,05 601 801,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Al-Mostafa Islamic University,5.0,(3),School,,Closed today,01 421 368,,,
Ibn Sina College - University,2.8,(17),School,,Closed today,01 643 411,https://www.ibnsinaedu.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - IUT,4.4,(5),University,,Closed today,08 902 020,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rafik Hariri University,4.8,(16),University,,Closed today,05 603 090,http://www.rhu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University,3.8,(5),University,,Closed today,05 505 825,,,
Modern University for Business and Science (MUBS),3.3,(4),Private university,,Closed today,71 566 670,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Rafik Hariri University RHU,4.5,(27),Private university,,Closed today,05 603 090,http://www.rhu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"American University of Technology, Tripoly Campus",4.1,(14),University,,Closed today,09 478 231,http://www.aut.edu/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University,3.8,(10),School,,Closed today,01 850 272,,,
