Name,KADAA_ID,KADAA_AR,KADAA_EN,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN
Ain Achma,11000,عكّار,Akkar,1,عكار,Akkar
Ain Al Zahab (Dinbou),11000,عكّار,Akkar,1,عكار,Akkar
Ain Baal (Sour),83000,صور,Sour,8,الجنوب,South
Ain Bou Souar,61000,النبطيّة,El Nabatieh,6,نبطية,Nabatiyeh
Ain Bourday,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Ain Ed Delbeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Ain Ed Delbeh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Ain Ej Jdideh (Aaley),54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Ain El Fraydis,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Ain El Ghouaybeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Ain El Kharroubeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain El Mir,82000,جزّين,Jezzine,8,الجنوب,South
Ain Er Rihaneh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Ain Er Roummaneh (Aaley),54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Ain Er Roummaneh (Chiyah),51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Ain Es Saouda,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Ain Es Saydeh,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Ain Es Sindianeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain Es Sofsaf,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain Et Teffaha,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain Et Tineh (Beqaa Ouest),42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Ain Et Tineh (Minieh-Danniyeh),77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Ain Ez Zayt,11000,عكّار,Akkar,1,عكار,Akkar
Ain Ez Zeitouneh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain Horcheh,43000,راشيّا,Rachaya,4,البقاع,Bekaa
Ain Majdalayne,82000,جزّين,Jezzine,8,الجنوب,South
Ain Qani,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Ain Qinia,64000,حاصبيّا,Hasbaya,6,نبطية,Nabatiyeh
Ain Saadeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ain Zebdeh,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Ainbal,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Aintoura (Matn),52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ardeh,73000,زغرتا,Zgharta,7,الشمال,North
Aytou,73000,زغرتا,Zgharta,7,الشمال,North
Baaloul (Beqaa Ouest),42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Baaouerta,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Babliyeh,81000,صيدا,Saida,8,الجنوب,South
Baflay,83000,صور,Sour,8,الجنوب,South
Baghdadi,11000,عكّار,Akkar,1,عكار,Akkar
Bakhaaoun,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Bakkifa (Rachaiya),43000,راشيّا,Rachaya,4,البقاع,Bekaa
Bakoura,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Ballouneh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Bani Haiyane,63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Bani Sakher,11000,عكّار,Akkar,1,عكار,Akkar
Baouchriyeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Bayqoun,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Bayssour (Aaley),54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bayssour (Jezzine),82000,جزّين,Jezzine,8,الجنوب,South
Bazaaoun,76000,بشرّي,Bcharre,7,الشمال,North
Bazouriyeh,83000,صور,Sour,8,الجنوب,South
Bcheaali,74000,البترون,El Batroun,7,الشمال,North
Bchilleh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Bdadoun,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Beddaoui,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Bednayel (Baalbek),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Bednayel (Koura),72000,الكورة,El Koura,7,الشمال,North
Behdaydat,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Behouara,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Beit Habbaq,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Bejjeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Benouati (Jezzine),82000,جزّين,Jezzine,8,الجنوب,South
Beqaata,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Beqaatet Aachqout,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Beqaatet Kanaane,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Berbara (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Bettal,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Bezbina (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Bhamdoun Ed Dayaa,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bhannine (Minieh-Danniyeh),77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Bhayri,73000,زغرتا,Zgharta,7,الشمال,North
Bichtlida,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Binnay,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bintaael,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Bireh (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Bireh (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Bireh (Rachaiya),43000,راشيّا,Rachaya,4,البقاع,Bekaa
Bissariyeh,81000,صيدا,Saida,8,الجنوب,South
Biyad,83000,صور,Sour,8,الجنوب,South
Bkhichtay,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Blat (Marjaayoun),63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Blaybel,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bmakine,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bnehran,72000,الكورة,El Koura,7,الشمال,North
Bneshaai,73000,زغرتا,Zgharta,7,الشمال,North
Bohsas,72000,الكورة,El Koura,7,الشمال,North
Borj (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Borj El Aarab,11000,عكّار,Akkar,1,عكار,Akkar
Borj El Brajneh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Borj El Yahoudiyeh,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Borj Qalaouiyeh,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Botmeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Bou Zrideh,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bouayda,63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Bouayda (Hermel),21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Bourgheliyeh,83000,صور,Sour,8,الجنوب,South
Bourjein,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Boustane (Hermel),21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Boustane El Herch,11000,عكّار,Akkar,1,عكار,Akkar
Boutchay,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Braiqeaa,61000,النبطيّة,El Nabatieh,6,نبطية,Nabatiyeh
Bramiyeh,81000,صيدا,Saida,8,الجنوب,South
Breissat,76000,بشرّي,Bcharre,7,الشمال,North
Brissa,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Bsaba (Baabda),51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Bsaba (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Bsatine (Aaley),54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Bsatine (Fsiqine),11000,عكّار,Akkar,1,عكار,Akkar
Bsebaal,73000,زغرتا,Zgharta,7,الشمال,North
Byaqout,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Chaaitiyeh,83000,صور,Sour,8,الجنوب,South
Chammis,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Chanay,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Chaouiyeh El Qnaytra,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Chaqdouf (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Charbine El Hermel,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Charqiyeh,61000,النبطيّة,El Nabatieh,6,نبطية,Nabatiyeh
Chbaniyeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Chebrqiyet Aammiq,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Chehabiyeh,83000,صور,Sour,8,الجنوب,South
Cheikh Aayache (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Chibtine,74000,البترون,El Batroun,7,الشمال,North
Chimlane,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Chnanaair,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Chouaghir El Faouqa,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Chouaghir Et Tahta,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Choueir,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Chqedif,82000,جزّين,Jezzine,8,الجنوب,South
Chrine,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Daael,74000,البترون,El Batroun,7,الشمال,North
Daghleh,11000,عكّار,Akkar,1,عكار,Akkar
Dahr El Hossein,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Dahr Laissineh,11000,عكّار,Akkar,1,عكار,Akkar
Dahr Qambar,11000,عكّار,Akkar,1,عكار,Akkar
Dakoueh,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Dalhamiyeh,41000,زحلة,Zahle,4,البقاع,Bekaa
Daoura (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Daoussa,11000,عكّار,Akkar,1,عكار,Akkar
Dar Baaechtar,72000,الكورة,El Koura,7,الشمال,North
Daraiya (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Daraiya (Kesrouane),55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Daraiya (Zgharta),73000,زغرتا,Zgharta,7,الشمال,North
Darine (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Darya,74000,البترون,El Batroun,7,الشمال,North
Daychouniyeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Dayret En Nahr El Kabir (Khat Petrol),11000,عكّار,Akkar,1,عكار,Akkar
Debaael,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Debl,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Deddeh,72000,الكورة,El Koura,7,الشمال,North
Deir Aammar,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Deir Ain Ej Jaouzeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Deir Dourit,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Deir El Qottara,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Deir Jannine,11000,عكّار,Akkar,1,عكار,Akkar
Deir Kifa (Sour),83000,صور,Sour,8,الجنوب,South
Deir Koucheh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Deir Mar Elias Kahlouniyeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Deir Mar Roukoz,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Deir Qanoun El Ain,83000,صور,Sour,8,الجنوب,South
Deir Qattine,82000,جزّين,Jezzine,8,الجنوب,South
Deir Qoubel,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Deir Tahniche,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Deir Tamich,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Dekouaneh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Dhayra,83000,صور,Sour,8,الجنوب,South
Dibbabiyeh Ech Charqiyeh,11000,عكّار,Akkar,1,عكار,Akkar
Dibbiyeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Dimane,76000,بشرّي,Bcharre,7,الشمال,North
Dlaybeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Dmit,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Douair Aadouiyeh,11000,عكّار,Akkar,1,عكار,Akkar
Douair Er Remmane,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Douar (Matn),52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Douris (Insar),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Eddeh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Eddeh (Batroun),74000,البترون,El Batroun,7,الشمال,North
Falougha,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Faouarat Jaafar,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Fardh,11000,عكّار,Akkar,1,عكار,Akkar
Fardis,64000,حاصبيّا,Hasbaya,6,نبطية,Nabatiyeh
Fatreh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Fayadiyeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Faytroun,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Fekeheh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Flaoueh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Fnaydeq,11000,عكّار,Akkar,1,عكار,Akkar
Fraydis (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Fraydis (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Fraykeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ftahat,74000,البترون,El Batroun,7,الشمال,North
Furn Ech Chebbak,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Ghabbatiyeh,82000,جزّين,Jezzine,8,الجنوب,South
Ghabeh,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ghabet Bolonia,52000,المتن,El Meten,5,جبل لبنان,Mount Lebanon
Ghandouriyeh,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Gharifeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Ghassaniyeh,81000,صيدا,Saida,8,الجنوب,South
Ghaziyeh,81000,صيدا,Saida,8,الجنوب,South
Ghazzeh,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Ghbaleh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Ghineh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Ghzayleh,11000,عكّار,Akkar,1,عكار,Akkar
Habchit (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Hadath (Baabda),51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Hadath (Baalbek),22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Hadath Ej Joubbeh,76000,بشرّي,Bcharre,7,الشمال,North
Hajjeh,81000,صيدا,Saida,8,الجنوب,South
Halloussiyeh,83000,صور,Sour,8,الجنوب,South
Hanaouay (Sour),83000,صور,Sour,8,الجنوب,South
Haouch El Harimeh,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Haouch El Qinnaabeh (Rachaiya),43000,راشيّا,Rachaya,4,البقاع,Bekaa
Haouch En Nabi,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Haouch Es Sayed Aali,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Haouch Snaid,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Haouch Tall Safiyeh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Haql El Aazimeh,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Haret El Faouar,73000,زغرتا,Zgharta,7,الشمال,North
Haret El Khasseh,72000,الكورة,El Koura,7,الشمال,North
Haret El Maasser,21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Haret En Naameh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Haret Hamzeh,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Haret Saida,81000,صيدا,Saida,8,الجنوب,South
Harf (Ardeh),73000,زغرتا,Zgharta,7,الشمال,North
Harf (Miziara),73000,زغرتا,Zgharta,7,الشمال,North
Harf Es Sayad,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Harimeh Es Soughra,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Hariq Zgharta,73000,زغرتا,Zgharta,7,الشمال,North
Hariqa (Hermel),21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Hariss,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Hasbaiya El Matn,51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Hassaniyeh,82000,جزّين,Jezzine,8,الجنوب,South
Hayssa,11000,عكّار,Akkar,1,عكار,Akkar
Haytla (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Haytouleh,82000,جزّين,Jezzine,8,الجنوب,South
Haytoura,82000,جزّين,Jezzine,8,الجنوب,South
Hayzouq,11000,عكّار,Akkar,1,عكار,Akkar
Hazmiyeh (Baabda),51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Hazmiyeh (Minieh-Danniyeh),77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Hdayneh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Hebbariyeh,64000,حاصبيّا,Hasbaya,6,نبطية,Nabatiyeh
Heloueh,43000,راشيّا,Rachaya,4,البقاع,Bekaa
Henniyeh,83000,صور,Sour,8,الجنوب,South
Heri,74000,البترون,El Batroun,7,الشمال,North
Hichi,11000,عكّار,Akkar,1,عكار,Akkar
Hlabta,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Hlaliyeh (Baabda),51000,بعبدا,Baabda,5,جبل لبنان,Mount Lebanon
Hlaliyeh (Saida),81000,صيدا,Saida,8,الجنوب,South
Hmaireh (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Hmaireh (Hermel),21000,الهرمل,El Hermel,2,بعلبك - هرمل,Baalbak - Hermel
Homsiyeh,82000,جزّين,Jezzine,8,الجنوب,South
Houaich,11000,عكّار,Akkar,1,عكار,Akkar
Hsayn,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Hsoun,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Ibl Es Saqi,63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Ighbeh,55000,كسروان,Kesserouane,5,جبل لبنان,Mount Lebanon
Ighmid,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Ijdaabrine,72000,الكورة,El Koura,7,الشمال,North
Insariyeh,81000,صيدا,Saida,8,الجنوب,South
Jabbouleh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Jahliyeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Janneh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Jayroun,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Jazira (Beqaa Ouest),42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Jbaa (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Jdaideh (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Jdaideh (Marjaayoun),63000,مرجعيون,Marjaayoun,6,نبطية,Nabatiyeh
Jdaidet Ej Joumeh,11000,عكّار,Akkar,1,عكار,Akkar
Jdaidet El Fekeheh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Jdaidet El Qayteaa,11000,عكّار,Akkar,1,عكار,Akkar
Jebrayel (Aakkar),11000,عكّار,Akkar,1,عكار,Akkar
Jibbain,83000,صور,Sour,8,الجنوب,South
Jisr El Qadi,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Jleiliyeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Jlisseh,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Jmaijmeh,62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Jmailiyeh,53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Joubbaniyeh,22000,بعلبك,Baalbek,2,بعلبك - هرمل,Baalbak - Hermel
Kaff El Malloul,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Kafr,56000,جبيل,Jbeil,5,جبل لبنان,Mount Lebanon
Kafra (Bent Jbeil),62000,بنت جبيل,Bent Jbeil,6,نبطية,Nabatiyeh
Kahhaleh,54000,عاليه,Aley,5,جبل لبنان,Mount Lebanon
Kahlouniyeh (Chouf),53000,الشّوف,Ech Chouf,5,جبل لبنان,Mount Lebanon
Kamed El Laouz,42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Kaoukaba (Rachaiya),43000,راشيّا,Rachaya,4,البقاع,Bekaa
Kaouthariyet Es Siyad,81000,صيدا,Saida,8,الجنوب,South
Karm Aasfour,11000,عكّار,Akkar,1,عكار,Akkar
Karm El Mohr,77000,المنية-الضنّية,El Minieh-Dennieh,7,الشمال,North
Karm Saddeh,73000,زغرتا,Zgharta,7,الشمال,North
Karmeh (Qommol),41000,زحلة,Zahle,4,البقاع,Bekaa
Kefraiya (Beqaa Ouest),42000,البقاع الغربي,West Bekaa,4,البقاع,Bekaa
Kefraiya (Koura),72000,الكورة,El Koura,7,الشمال,North
Kefraiya (Saida),81000,صيدا,Saida,8,الجنوب,South
