,tweet,username,lang
35,name one thing the governments done to combat corona besides enforcing a lockdown that just keeps people away from their jobs,robbbbbbbd,en
36,"petrakhoury raising the red card
orona
ovid httpstwittercompetrakhourystatus2888257358358",bilalrkaafarani,en
37,"i2olo corona btro7 3l shob bs bi lebanon btzid 3l shob 
if hek",hayasabbagh96,ar
38,"     
     

coronavirus
ovid
corona",youmnasherry,ar
39,hh al bta3melak bubble protection from the virus ma daroure that mask aw chi btjiba bi chi  barke hayde awal mabalashet corona w btdayen chaher barke chi hek  bara kelo hek byesta3mela bas eno lk sarlna chi months bil corona ma la2at chii lehh ,roubachamii,ar
40,ooo corona corona gooo corona gooo nt,farahhijazi97,ca
41,habibe 3ed jmaa klna ma3na corona mnl jemaa,eliyanakhle,ar
42,ah ysakro l pubs l tanen la2ano fi orona bs liom ma rah ysakro l pubs la2ano its summer its aturday w law fi orona ,ritasalibaa_,en
43,ats get tested for corona by doing isi ,dimitribaz,en
44,ey eorges kais corona m rooting for you   pictwittercomep,elledeboogie,ar
45,"lockdown will b back starting onday in ebanon 
ewold measures will be taken corona",nisrinehatoum,en
46,75 new corona cases today in ebanon,nisrinehatoum,en
47,tarted as a vigilante now im a hero  orona,albatrick,en
48,lease god make the corona turn into the virus   httpstwittercomlebnowstatus28738773,moudihafza,en
49,a elna gher corona trayehna mennon ,sergioyaacoub,mg
50,w corona,hussienhachouch,ar
51, corona ballash ybke w yseb hayeto baad hay lsoura  httpstwittercomelissazstatus28852732,nadthehotmess,ar
52,kess ekht bkel wahad ken maao corona w rah eemil zyarat w felit beyn el ness,cutestssnake,ar
53,cats being tested for corona by doing the bisi ,stephanykordahi,en
54," dont know we always witness live changes with people  just wonder whats the point with corona patients
hey kill them with misery with bad anticipation and loneliness",bitonya,en
55, wanna smoke bas ino ba3dne khales corona bas ino   5 ,sweetlifeofzak,ar
56,3afekra l corona kello kezeb w hay khottet bill gates la y7otto sheefra yet7akkamo bl daghet w y2alelo l bashar w khsouse l arabbb  shu befahhemkon entooooo  pictwittercomdbhn,nadthehotmess,ar
57,"d very much like to blame the ebanese minister of ealth for the daily increase in orona cases preventive measuresfines were essential to stabilize the curve ut  also blame the people carelessly partying forgetting the danger of being in crowded places
earamnask",dimitribaz,en
58,"      

etweet to spreadawareness 




coronavirus covid corona stayhome quarantine lockdown socialdistancing staysafe virus rus coronav stayathome love pandemic quedateencasa cuarentena memes pandemia yomequedoencasa pictwittercomgqf2pl2",sb_overseas,en
59,"   in the time of corona
hank you for taking the decision minister ahmi  bit late with the surge in the number of ovid patients bas still good step ebanon  httpstwittercomarahfeirstatus283737228882 pictwittercomvdjfvg",sarah_sfeir,en
60,when you overthink it  youll feel the symptoms even more so just relax for now it can be just a flu and if it continues go for the corona test and dww most young people get over it quickly but i hope its not corona gett welll sooon,nivinhmdd,en
61,"onstanza visualization by oy haya

ools used utodesk 3ds ax orona enderer dobe hotoshop

architect architecture amazingarchitecture render 3dsmax coronarenderer interiordesign design house beirut lebanon home amazing diy travel fashion 3d decor pictwittercom8rwn7",amazingarchi,en
62,ol l 3alam li their excuse eno ma bya3erfo hadan ma3o corona fa l corona kezbe hene aghba 3alam ata3et 3laye ba3ed charbel khalil,reemnasra,ar
63,he    has taken a complete  turn and said that asymptomatic orona patients neither need to be isolated nor quarantined nor social distanceand it cannot even transmit from one patient to another hat has the whole world been doing these 5 months  pictwittercomqv,hebasweidan,en
64,y stray cat orona   very cute  pictwittercom2vcddf,eliasabinasr1,en
65,ccording to the news weve been eating expired chicken for  years now f that didnt kill us then orona could never,memelaxx,en
66,hy is there a new place in koreitem called corona cell and why is the logo a virus,supyoufoundjay,en
67,ayre bel zaha2 w bi kel akhu sharmuta shef kel lebnen w wazza3 corona bel jemle  pictwittercomxhgwgd,robbbbbbbd,ar
68,as esma3 hada ma3o corona bi balsho zle3ime y3a22so la halon,friendsforless,ar
69,alla theres still orona stop partying every single day ,joeehaddad,en
70,coronavirus orona   ebanon lebanese pictwittercombcfil,akel_l_lohoum,ar
71,olks who go clubbing no corona there  watched some stories on  from last night at rojekt and its a full house,q_mouses,en
72,s long as we still until today have people who think that corona is a scam then be sure that we are doomed ,josiannehaddad,en
73,abma i miss running around tryna catch brahim that one stubborn kid who wana play by his own rulesi miss farah who would hold my finger with her whole handi miss doing smol train chains to get them 3yo to stand in linei miss ma orphans fuck corona,shuaambisir,en
74,a3an gainstorona  httpstwittercommophlebstatus28373578778,laboumrad,ar
75,a3ni ana bala corona w bala inheyar iktesadi ma kenet merte7,sweetlifeofzak,ar
76,"a3an  gainst orona

ct now upport  o nstall  hare

mophleb   ebanon laboumrad madlhajj hattasala marcobardus eemalameh aherawy humanitarianengineer pictwittercomp2nvag",alinegermani,en
77,"aunching a3an  gainst orona 
ontact tracing app designed by mophleb   and edob

ct now upport o nstall  hare

ebanon madlhajj hattasala aherawy marcobardus laboumrad eemalameh humanitarianengineer",alinegermani,en
78,a3an gaint orona  httpstwittercommophlebstatus28352388,laboumrad,ar
79,orona ont leave home without it  ,hishamelamaili,en
80,arting is such sweet sorrow especially in corona times  wishing ana and iels all the very best  pictwittercomgk,mverwijk,en
81,omeone said ento jebto el corona straight to my hinese friends face aight lemme just  pictwittercomcfzqz,shuaambisir,en
82, wana go there but ill prolly die from corona because of ouad youb  httpstwittercomecretardennxxstatus2837857837,shuaambisir,en
83,"iab aurait bien boucl le pays pour cause de orona
aute dlectricit il ne peut pas

ouvernement de techoncrates ",edmondrabbath,fr
84,annahar eliesaab resilience lebanon liban libano lockdown lockdown22 coronavirus corona covid covid ,noellezarifeh,en
85,y favourite stray cat orona  i was nominated by paolarebeiz  i nominate annouca eanar28288 linasalameh lubnamassoud ardineaha hallitalise pictwittercomrip2c,eliasabinasr1,en
86,orona cases today covid,m_h_f_,en
87,3ne ljem3a ljeye bbatel fi orona ahayyyyyyy ,nicoletannous18,ar
88,"om osset l 
om corona l zabriye
he world is keeping us busy",karampeter,en
89,mafik teje tne2 aal corona l soboh w tenzal toshar bel lel bro msh zabta,chriiiissty,ar
90,b7eb eshkor l lira 3ala l inhiyar w l ya2is 3ala wujudo law ma ento ken l ma7al fawwal w ana l2atet corona thx,robbbbbbbd,ar
91,stop catching corona,alt_meow,en
92,"oronaaaaa wel3ane 
 tkrir ken 3an l corona",sarahgh21,ar
93,orona who,gfarahh,en
94,orona 2nd wave   httpstwittercomebanonstatus28225858375,eliasabinasr1,en
95,orona   ,ghandournawal,ar
96,"eirut closed indows

beirutlebanon beirut aloevera
tomato tomatoes miskiman miski green window palm
palmtrees coronavirus corona
confinement pink immigration quebec pictwittercomv3uim",miskiman,en
97,corona yakhi,robbbbbbbd,ar
98,veryones clubbing in my stories lol corona is pleased,supyoufoundjay,en
99,orona does that to us,gbelaur1,en
100,es overty though corruption expedited by corona erfect storm ,stone_skynews,en
101,mm honestly  think that sadly ebanon will fare worse than most aybe not from corona but from corrupt politics and economics which have broken the place,stone_skynews,en
102,in nezil bukra posh corona night,iamgergy1,en
103,"ene iza sakaro byeklouha n the other side orona is spreading and its a joke some people are dying
he fact that ne7na be3ajez already and doing bad economically and financially is making all this much much harder here is no answer sadly",ridopamine,en
104,mp hread about the spread of orona in ebanon  httpstwittercomfirassabiadstatus28255728,bitonya,en
105,hy is heyennes friend called orona the way  amedkdj,adeleshunty,en
106,ayda kelo kezeb  wa2ef l wazir ra2es bl seyf l teres   corona saret khedmi la masalehon ,majiddbaissy,mt
107,huf hashtag corona bl 3arabi p,hasan_san,ar
108,73   ,mauribarbar,en
109,halla2 fhemet enno l she hiyye corona mish ana,robbbbbbbd,ar
110,allah yekhedne tole3 fi corona b jeme3te,krh120,ar
111,ya3ne khalas mafi orona,robbbbbbbd,ar
112,"oveis in the air  
so is the corona virus 
ear a mask stay away from people without mask
  pictwittercomfyonf",gorgeous72,en
113, mean understandable but like corona ma dudes,shuaambisir,en
114,srael gypt energy ties unharmed by corona crisis annexation plan  httpalmonco3dgo via lonitor,lauryhaytayan,en
115,coronas fake,ariavediss,en
116," marlboro 5 
 dollar bi  alf 
orona 
eskir tor2at 
e    pictwittercomugvseb",najibchalhoub2,mt
117,"    httpnnalebgovlbarshownews87887vxnb7s2twitter
orona",nnaleb,ar
118,he only thing sader than a uonist actually still believing that his politcal leaders will save this country s the fake corona number being given to   by the ebanese government to manipulate the people into staying home and not revolting against corruption orona ,stuf2say,en
119,"oronas fingernails
  
es ongles de orona

  pictwittercom5mkipc",gorgeous72,ar
120,tags jam3et corona kezbecorona metl l gripe  httpstwittercomnbntweetsstatus277888353335328,reemtermos,ca
121,ery old  early corona times,etiennebas,en
122,                 httpstwittercombbroccolibabystatus2777355285,ohmyhades_,en
123,uick whats your best corona flirt lets see,supyoufoundjay,en
124,i vous pouviez mettre fin au orona en sacrifiant juste une seule personne qui choisiriez vous et pourquoi assan asrallah ,edmondrabbath,fr
125,ll groups together aa ases l wahad lezem ykoun e3ed wahdo 3al amar ta yel2at orona  httpstwittercommemelaxxstatus27735332252278,ritasalibaa_,ar
126,o what  understood is that theres no album until corona is fully over o give or take in another year onsidering another wave isnt coming,adeleshunty,en
127,orona sehran village dbayeh m3 rodge llayle,ritasalibaa_,ku
128,"odays global generation efore and after orona
ebanese efore and after 5",yeghig,en
129,odo dia q eu saio na rua aqui eu agradeo muito a sorte de eu estar num pas q a situao do corona est controlada e a gente pode fazer tudo normal apenas colocando a mscara,caio_729,pt
130,orona lmost everyone everywhere is opening every thing xcept worship laces and discotheques ,hishamelamaili,en
131,y counselor texted me saying that she submitted all my papers and m getting my nconditional letter next week  was telling mom and she was like adi  fear that if  send you you might catch orona and you might die there o you know what d do to myself ,hadikobeissii,en
132,"he day  decided to go back to the gym the orona outbreak happened and gyms closed down
he day  decided to prepare my portfolio for ornub the industry starts to cripple because pornstars are having it at it each others
m so unlucky",foolishgallant,en
133,is men doun chi wa2ta fout projekt b7ess la7 2ol2at stds ma badde 2el2at corona kamena,albatrick,ar
134, really dont understand who told the managers at work that corona is spread through s,therezatayoun,en
135,"ost corona ow  charges a ticket for the price of a car in  amd riyad saleme illegally detains our savings so its hell to live here as much as it is to leave
ni7 l safra  ma ha22a she22a  venrually it will",gbelaur1,en
136,"orona party 
   
",sarahgh21,ar
137, have a headache my nose and ears are blocked and  think eno na mgareb ot gonna go to the gym today ont wanna infect someone wu e5er shi y2oolo  have orona ,hadikobeissii,en
138,le3ime mentashh ekhton maa3oul corona,salwakay1,ar
139,orona virus is a heteronormative ideology  httpstwittercom2cloutgogglesstatus277288375,ohmyhades_,en
140,hou khass hay bi hay orona darab l ghaz yih,marieclaudefar3,ar
141,nd above all of that some dumbasses say              httpstwittercomiecefrkestatus2772827877,hadikobeissii,en
142,mid increase in corona cases eesponsible pictwittercomt3aaad,the_streetpulse,en
143,stop acting like corona is not a thing,mariajuanh,en
144, corona bl taiga liom  pictwittercomfigq7v,ritasalibaa_,ga
145,wlik shu beke iradet l hayet w hon l aaysh b jbeil a2wa mn l corona ziadd hawat bhad zeto tamana,odrraa,ar
146,orona is offcially in ripoli now w still fi neiss mush msadd2a  ok,ayanayakhni,en
147,5 corona cases todayyy,reemnasra,en
148,edwitter  orona  httpstwittercomournalsstatus275728537,lamsalebanon,es
149,y ex who has corona not letting corona get in the way of him being annoying  pictwittercomizewy,ohmyhades_,en
150, wish some lebanese activists could shut the fuck up and stop nagging about businesses opening up while corona cases are still rising nlike you some of them are actually suffering and trying to survive,obeidahmad,en
151,7ada bas yechra7leh kif l ma3ehed l faniyeh bda tefta7 la 58 bi dawem kemel w 7oudour tlemiz kholsset orona ma3elik aw hinni mn gher kawkab arekajzoub,nathalieaziz1,ar
152,heres an album on anghami called dance against corona   3           ,shuaambisir,en
153,3o lotona b corona w mnmut dawli m m3a thkmna krml km ,layalkb,ar
154, challenges posed by covid  communities 2 resetleadapt to a cautious lifestyleebrelief social workers in partnership w  ebanon r playing a  role in keeping ebaneseyrian refugees safe  all times by providing more water storage capacity 2 fight off corona  pictwittercomsqrtz,leb_relief,en
155,"fter  injection
he  exchange rate will decrease 
ut the orona virus rate will increase  httpstwittercommaramostatus2735857352",tonysamia,en
156,"ccording to artnerinc here are  uture of ork rends ost
remotework newworldofwork askhr employeedata valueproposition culture management engagement futureofwork businesscontinuity business covidsolutions covid newwaysofworking trends orona  pictwittercomejjiyl",farah_bousaleh,en
157,weird eno of it wasnt for corona i would have been now stressing and panicking for the exams,mariajuanh,en
158,his is bullshit no  test here and no hotel for him tonight and he paid for them and then they blame how the corona is spreading in ebanon because of the people coming from outside,haroutagopian21,en
159,till not over how i missed out on their concert bc of corona,jadsaad99,en
160,"or the ones posting stories with postcorona hug reunion outing
a2 fehmin l ossa ghalat we are mid corona still ountry is reopening because it has to economically oesnt mean you stop social distancing or taking precautions",assafnicole,en
161,"orona will end
ears will stop
oors will open
postivevibes hope",rawansam5,en
162,eing sick in the times of corona is draining one cough and everyone thinks im spreading ms rona everywhere,sheneyney_,en
163,ude kif ya3ne hek all of the sudden sar fi a new type of corona  kif ya3neeeeeeee,itsmahmoud_ns,en
164,oday marks exactly three months since  last seen anyone of my family due to corona and airport closure during this period  learned erman read 2 books did 2 research projects and graduated from medical school ut none of these was as special as them being around,ihaddad94,en
165,"ia imperialcollege 
he decline in cases  deaths was a result of lockdownsocial distancing hygiene measures not heard immunity
ot possible to prevent 2d wave if measures are eased
 httpswwwimperialacuknews8238declinescovidcasesherdimmunitysays
covid
orona
publichealth
edwitter
",lamsalebanon,en
166,orona virus seems to have infected u and stole your trivial focus  morals ,mouradrida,en
167,fter 7 monthspeople are stil debating if corona is real or not  httpstwittercommeenmediastatus27223833,ikerista,en
168, just saw this his heart is anticorona  pictwittercomqytc8zy,faetotchini,en
169,"ebanese mentality

nyways el corona kezbe btaarfo shi wahad aando corona  a fi hadan baarefo aando yeha

",bazzimira,ar
170,is it because hes mr international like how corona is everywhere,sergenasr,en
171,grace a ieu  jai pas de corona,mollytamraz,fr
172,enne aam yez3alo eno hol l properties are private for people who are actually trying to survive the economic and post corona crisis yaane eza kassaro l mata3em wl ma7alet  ma bi 2asro aal dawle bi shi,karampeter,en
173,              ,mariajuanh,en
174,aw bterjaa corona w bet fadilna l tor2at shu bi kun mnih,gfarahh,ar
175,"eh kel l 3alam 3am tetjawwaz 
3a shou mesta3jlin
2azmet 
orona
nemployment",karampeter,ar
176,shion without corona,medtoja123,en
177," have to visit gypt again  guess
efore the corona  was comin",hadioflebanon,en
178,yejine wahad men lalaland bi elak nfekho shu wainak 3ayesh inte mish seme3 bill corona wa badu ysaker taiga,taigalebanon,ar
179,h wala dakhlak no more corona nly when i open aaigaresort corona will come ,taigalebanon,en
180,sad2en b3dkon inu fe corona   httpstwittercomaguyouhosnstatus2772355,ghaddarfaten,ar
181,reen ays concert in ilan on june  was cancelled bc of corona and they just announced theyre coming in june 2k2 if this aint good news,jadsaad99,en
182,he past three days the corona cases were  8 and 2 was lifting the lockdown really a smart move,weaamj2,en
183,"                 
haydi  bi zaman l corona ma3 l social distancing kamen",hasan_san,ar
184,erade durch eine trae in eirut geschlendert in reund sagte this year my children couldnt go to school because of the evolution and orona ext year they cant because there is no money ch ibanon was wird aus ir,sinaschweikle,de
185,8 new local corona cases el balad feteh 3ade w kil shi,ikerista,ar
186," has released on ay 27 22 a guidance document intended for clinicians caring for  patients during all phases of the disease from screening to discharge coronavirus corona   edwitter edd

ownload the document  httpswwwwhointpublicationsdetailredirectclinicalmanagementofcovid",lamsalebanon,en
187,"orona  ear of orona
archune  pictwittercomva8y",tonysamia,en
188, you are the last person who should have been notified about corona virus   ,kareem_nasser,en
189,f you dont talk or cough while hugging the risk should be low  orona coronavirus  via nytimes httpswwwnytimescom22wellfamilycoronaviruspandemichugmaskhtmlsmidfbshare,lamsalebanon,en
190,orget about social distancing corona and everythingwtf is this community manager  httpstwittercommhijazistatus27537,ikerista,en
191,i byerba7 be3ezmo 3a concert ramla nakad after corona  pictwittercomdlaj7,sheikheliass,en
192,"

  
   
3",singhiyckundan,hi
193,orona the airport is closed   httpstwittercomatataae2liyestatus23373858372,walidalhakeem,en
194,hawra corona w harb ahleye lass of 5 mabrouk 3alayna shabeb,itsghb,ar
195,o cheri ballashna hase  where beaches are allowed from now on  battal 3layon corona 3a ases  3refti kif ,hasan_san,en
196,"he merican orona irus 
covid  is a criminal  gift 
from the idiot rump to the
citizens of our globe  ut
od is punishing him via
the elderly  of the non nited
tates of merica the 5 
years old land of hristopher
olumbus ",malham_a,en
197,"here is someone whos convincing al journalist  live on v eno orona kezbe w ma fe corona 
ab ma leshhh
",carlaboudiab00,en
198,l corona kezbe,tala_khatib,es
199,his is coming from someone whos been on the streets every single day since ct 7 until corona began ut it irritates me that people keep saying share this and share that without  fact checking then it goes viral gets debunked and we look like a joke,supyoufoundjay,en
200,el ma shouf shakhsen 3am b salmo 3a baaed w ybawso baaed aal tv b2oull lahhh fi orona kif hekk aaden betzakar eno hayda mousalsal msawrino bel 2,sergioyaacoub,ar
201,here are 55 active corona cases in ebanon,paulanawfal,en
202,h hek ma ba3ref bas l akide minno l madrasset kenit 3am t3ani azme abl corona w l rahbe 7ekyit bi woudou7 enno lezim net7ammal ba3dna w ntawel belna w 3a asses killo byet3awad wa2t yemchi l 7al bas ma chi mechi killo la wara yemkin ente dafa3ti bas kamen fi ktir ma dafa3o,janejocelyne9,ar
203,na saraha ekher hamme l corona bas ma ele jlede aamol finals b balcho eena bel fanar b 22    so ana maa elghe2on ,georgeshabib12,ar
204,       ovid orona,drwissam,ar
205,"                
s 

 anticorona ",hananmsw,ar
206,a3ed na2esne ken hada yeje yehke ma3e lyom w hatet mask 3le ogo uventus orona ekhdak,sergioyaacoub,ar
207,en rahet el corona,chedrawykalina,ca
208,hahah toli3 ila cot positive l corona bravo,janejocelyne9,fr
209,lz w2foulna hl thawra bs shway khaluna nedhar netnafas b3d hl corona wzaber nektouna aktr mn zu3ama ento wiyehon anyak mn ba3ed bs  week rayhouna nedhar w mnrg3 mnnzal m3kon,samyousseff,ar
210,up but lfc after corona wont spend that high they are reluctant to pay  million pounds for timo i guess sancho will end up in united or city they get used to paying high eventhough united is passing through financial crisis this summer,rabihyaghi1,en
211,ol standards changed its about how good or bad corona cases are in your country  httpstwittercomheunstatus27835782,kanbaralaa,en
212,2al khayalo be 225 ydal fy corona be lebnen la2an carole samaha ma bada el vaccine yfot l3ana cz 3mlt inspiration la kteer nes ,isthatdann,ar
213,eres a virtual coronafree hug ,nisigarrix,en
214,"ello w la yenhar ektisad l balad 
ar l corona mtl l nezlin zla3imo ",smsaeedd,ar
215,i ma 3m efhamo enno walla l corona cases baadon 3alyin  kif 3m yerja3o yefta7o kel chi 3l ekhr  l3ama,antoishac,ar
216,there isnt corona in space right,sergenasr,en
217,id all ebanese just take a break from orona this weekend or,lynegandour,en
218,"3anjad alad efet
ebnenefet
l corona 3am yetla3 lyoum w badoun yefta7o el balad  3anjad  alad zefet",mkafrouny,ar
219,a creepy smile is always weird but yeah i did notice the corona brought some weirdness in,sergenasr,en
220,next time tell him i have corona,sergenasr,en
221,"nnaarenine  est le comte ronski 
orona  confinement
bfmtv httpstwittercomstatus2753252535",rayan_haykal,fr
222,orona in ebanon be like  pictwittercomrlj,ikerista,en
223,orona or the 5th week in a row the ratio of global deaths over global infections been decreasing steadily ow stands  2 ast weak  efore 8 5 weeks ago 7 ooks encouraging,hishamelamaili,en
224,d do anything to go back to the older and simpler times and  dont just mean before hawra and corona  mean way way way way wayyyyy back,nohaalchoufi,en
225,konomik kriz uzun zamandir odeme yapmayan bankalar corona 7 aydir denge tutturamayan hukumet izbullah bnan da her sabah yeni haberlere uyanmak,evrenaykul,tr
226,        orona ,naufal_mona,ar
227,ahaha bas nekhlas mn corona ,ntoiiine,ar
228,             httpstwittercomyngbarsstatus253587585,salwakay1,en
229,ccording to my data before orona blows over the  death toll will sadly exceed 3 ou have your realonaldrump to thank for these numbers,willytheboy,en
230,b to when people called protesters during the corona lockdown a death cult,obeidahmad,en
231,corona laughing in za back  pictwittercomipt,yagallsam,en
232,orona effect ,yana_ched,en
233,i corona ,zainab_lb,ca
234, suspend les tudes  l hydroxychloroquine   orona coronavirus httpswwwlefigarofrsciencesendirectcoronavirusleuropepoursuitsonlentdeconfinement22525,lamsalebanon,fr
235,fter corona is the new nchalla,perla_rayess,en
236,"                       
  22 
ebanon tourism photooftheday
eidmubarak22 orona  pictwittercom8iab",nidalmajdalani,ar
237,lesh aam shuf l corona aa shakl bashar  httpstwittercomfuturemovementstatus2752832,rama_dabb,gu
238,ina area in ripoli nesyo enu fi corona  ktyr normal life,ayanayakhni,en
239,eh 3am ta3mlo zyarat w dahreen in groups eza kelyom bizeedo 7alet el corona 3anjad ma3o 7a2 yalle 2al inno el lebnene bala fehem     7  ,nisigarrix,ar
240,bi err 7eke ma3 l corona ta3tina yawmen off bcz of eid l fotor3 nice guys ,ramen2go,ar
241, just realized that the approach of conservative regimes in dealing with the ovid coronavirus is mostly detrimental to the elderly who constitute the main conservative electoral group  most surprising paradox,ghadygelkhoury,en
242,"sources from within the ealthcare industry are saying that the ministry of health is fabricating orona test results and increasing the numbers with every major protest

dk if  trust it but honestly our government really isnt far from that  httpstwittercomoronavirusstatus22575532",robbbbbbbd,en
243,2  before corona  pictwittercomvjmv,zadamadams,en
244,his is life after rexit  orona,samirhafza,en
245,"appy idlitr he risk of  transmission increases with
 he number of people gathering
 he place higher for indoors 

his year thank you for avoiding group gathering indoors
elebrate at home with your family   orona
 pictwittercom8ar25ax",lamsalebanon,en
246,orona global figures look good  now stands at  deathinfections vs 7 a month ago ot going up ased on this projection it looks  more months before we are back to  ingers crossed,hishamelamaili,en
247, didnt drunk text oomf but  texted my coworker instead someone k word me pls  whole ass  min vn intended for my friend saying fuck corona  just wanna hug you ,supyoufoundjay,en
248,orona time  pictwittercom8oslnr,ahmadjobor,en
249, wonder how many kids completed potty training during this quarantine ine is trained now so is my niece and my nephew ottyraining uarantineife  orona tayome,badoursa,en
250,"orona irus cases increasing in ebanon again 

ebanese on id day   pictwittercomekt2hk5",mahadakhasso,en
251,ake me up when corona ends,heebahanna1,en
252,no no lol if theyre not gonna give out aid than just open the country back up gradually idc close all the fucking resorts and beaches bc theyre corona hotspots not to mention that theyre built illegally and they profit an already rich minority of people,robbbbbbbd,en
253,"ore on this ebanons orona surge an instructive thread by one of the guys on the frontline
 httpstwittercomfirassabiadstatus2378732772753s2 httpstwittercomfirassabiadstatus2378732772753",jobahout,en
254,u canada comme en france des cas de  aprs leur ouverture coronavirus corona  httpswwwmsncomfrcaactualitesquebeccanadacasdecoviddanslesc3acolesdessyndicatsrc3aclamentunc3atatdeslieuxarr3ocidsf,lamsalebanon,fr
255,      corona     positive ,samerbenny1,ar
256,8 hale bi majdal aanjar lyom yaane ekherte mout bi corona,itsghima,hi
257,"corona virus
  
 

",fady__karam,ar
258,kam wahad nsab corona lyom  mazbout  aw kif ,adolphzoghby,ar
259,3         afi orona   ,fady__karam,ar
260,"uwe ma fe 3 halet shefa2 bas bye3tebro lelo aktr men shaher mosab ka2eno nshafa
as b3do ma3o corona  pictwittercomos3hx",hadi_salloum,ar
261,"3 new cases today 
rom   n ndgame for  in ebanon  by ade halife 
 welve measures are required for ebanon to extinguish  by ade halife 
 httpswwwlinkedincompostszeinamoukarzelendgameforcovidinlebanonstrategicactivity553575582528lu
corona    ",lamsalebanon,en
262,                                      coronavirus ovid,bzeihhussien,ar
263,3 new cases  im so excited to see my friends in 2 weeks since usj is corona free   cant wait ,im_madaf,en
264,               corona                          ,lauralaurenceh1,ar
265,  orona  httpstwittercomcnnistatus23325887,lamsalebanon,ar
266,wal shi corona ene hi do you drink elet shi ,karimshaito,en
267,an corona end so  can get a bf eno please khalas sar ma3e jafef,nohaalchoufi,en
268,eut etre ca devient esus le retour apres orona  ehe,etiennebas,fr
269,halas eza ma3ak taba3 l lebneniye shu fara2it l tnen ma byol2ato corona,kayyteeth,ar
270,xcellent read and perspective on corona clusters ,gsbeirut,en
271,please corona go away because  miss techno nights,nisigarrix,en
272,   corona  ,alizein87,ar
273,asting my young years orona,mona_daou,en
274,   corona ,lauralaurenceh1,ar
275,ia businessinsider 7 nouveaux cas de  dans les coles  semaine aprs le dconfinement rance corona coronavirus mestrate httpsbitly3ar3k,lamsalebanon,en
276,                                             monsieur le pote orona,mayr07204309,ar
