username,time,text,tags
Rita BF,5h,"@LebarmyOfficial
 @isf بيسلموا عليكم الشباب ..

وبالاخص على 
@Hamad_hassan20
 ..
السيادة !!! الوقاية!! برعاية حزب الله وحماس ومباركة اسرائيلية!!
#كورونا #لبنان_ينتفض #لبنان","['#لبنان_ينتفض', '#لبنان', '#كورونا']"
Hassan ftoune,5h,"اليوم ٢٠ من الحجر المنزلي
و مش عم اخلص من الكورونا حاسس حالي كنت بووهان وقت نطبخ جوانح الوطواط مع كزبره و ثوم حامض و جيت انا اخر شي حطيت اللمسة تبع الملح بهار و تنشقت الريحة الطيبة
 تعشعشت الكورونا فيي بس قدرة الله بتشيلها
#كورونا_لبنان",['#كورونا_لبنان']
thaer abbas ثائر عباس,5h,"بغض النظر عن الدلالات السياسية لزيارة #إسماعيل_هنية مخيم عين الحلوة اتيا من #تركيا ولقاء مع أمين عام #حزب_الله ... المشهد كارثة صحية في زمن #كورونا 
#لبنان","['#حزب_الله', '#كورونا', '#إسماعيل_هنية', '#تركيا', '#لبنان']"
Lebanese-Forces.com,5h,"9 إصابات جديدة في #الخيام
https://bit.ly/2F9YERw
#كورونا #لبنان","['#الخيام', '#لبنان', '#كورونا']"
Dr. Kamal H. Almasri,5h,"""لسنا ننشد عالَماً لا يُقتَل فيه أحد؛ بل عالَماً لا يُمكن فيه تبرير القتل"" الفيلسوف والروائي الفرنسي #ألبير_كامو #Albert_Camus #التطبيع_خيانة #صباح_الخير #تويتر #الأردن #الكويت #فلسطين #كورونا #فيروس_كورونا #لبنان #يمين_يسار_يمين_يسار #coronavirus #COVID__19 #طفي_تلفونك_12_9","['#ألبير_كامو', '#coronavirus', '#التطبيع_خيانة', '#طفي_تلفونك_12_9', '#الأردن', '#يمين_يسار_يمين_يسار', '#كورونا', '#COVID__19', '#الكويت', '#لبنان', '#فيروس_كورونا', '#تويتر', '#صباح_الخير', '#فلسطين', '#Albert_Camus']"
ghass rifi,5h,"تشير المعلومات الى أن جريمة كفتون أنقذت لبنان من عمليات أمنية كانت ستستهدفه، وأن توقيف بعض عناصر المجموعة الارهابية وملاحقة مسؤوليها من شأنه ان يوقف نشاطها ويكشف مخططاتها، ويعيد الزخم للأجهزة الأمنية بعد تراخيها في زمن كورونا.
#لبنان 
#كفتون
#صباح_الخير","['#كفتون', '#لبنان', '#صباح_الخير']"
Zeze Baydoun,7h,"فينا نفهم ليش الخطوط الساخنة لوزارة الصحة ١٢١٤ و ٥٩٢٦٩٩-٧٦ ما بيجاوبوا على الاتصالات؟ الخط منظر بس او مفروض المريض يدبر راسوا بوقت في وباء ولازم تكون الوزارة بحالة تعبئة ٢٤/٢٤...
شكلنا صار في داعي للهلع.
@Hamad_hassan20
 @mophleb
 
#كورونا #كورونا_لبنان","['#كورونا_لبنان', '#كورونا']"
nbnlebanon,10h,"نتائج فحوص رحلات إضافية وصلت إلى #بيروت
https://nbntv.me/?p=259551
#كورونا_لبنان","['#كورونا_لبنان', '#بيروت']"
Elie el Khoury,10h,"Keep Going! 

#Lebanon  #LifeCoach #CBT #NLP #Mindfulness #Counseling #Hypnosis #Happiness #personaldevelopment #leadership #loveyourself #coronavirus #growth #purpose 
#كورونا_لبنان #لبنان #صباح_الخير #كورونا #بيروت #السعودية
 #الإمارات #البحرين #الكويت #قطر #عمان #الأردن","['#Counseling', '#كورونا_لبنان', '#الأردن', '#purpose', '#leadership', '#personaldevelopment', '#Lebanon', '#NLP', '#loveyourself', '#كورونا', '#عمان', '#لبنان', '#coronavirus', '#الإمارات', '#LifeCoach', '#Happiness', '#Mindfulness', '#قطر', '#Hypnosis', '#CBT', '#صباح_الخير', '#بيروت', '#البحرين', '#الكويت', '#growth', '#السعودية']"
Dr. Khaldoun Abdel Samad,10h,"صباح انتصار الطبيعة .... مستمرون ... ثورة
#صباح_الخير 
#كورونا 
#لبنان 
#لبنان__ينتفض 
#كلن_يعني_كلن","['#كلن_يعني_كلن', '#كورونا', '#لبنان__ينتفض', '#لبنان', '#صباح_الخير']"
New Lebanon -لبنان الجديد,17h,"بعض الآمال قد تبددت.. هذا ما كشفته شركات الأدوية عن عقار كورونا
#لبنان_الجديد

https://bit.ly/358Rx6I",['#لبنان_الجديد']
Fouad Badaro,21h,"Replying to 
@ChangSara",[]
Fouad Badaro,22h,"#Corona #COVIDー19 Official Numbers in Lebanon till date:(New)
-Tests Done:567,851(9218)
-Confirmed Cases:20,038(531)
-Recovered:5,868(276)
-Death:187(4) 
-Active Cases:13,983
-Hospitalized:373
-Moderate:268
-ICU:105
#كورونا #كورونا_لبنان #لبنان 
 #StayAtHome
  #COVID2019 #COVID19","['#Corona', '#كورونا_لبنان', '#كورونا', '#StayAtHome', '#COVID19', '#COVID2019', '#COVIDー19', '#لبنان']"
Sara Chang,22h,"Dashboard updated for 5 September #كورونا_لبنان #Lebanon #COVID19 / 554,290 total tests; 20,011 total cases; 531 new cases today; 13,956 active cases; 105 currently in ICU; 5,868 total recoveries; 187 total deaths.

For more details: http://tiny.cc/covidlebanon","['#كورونا_لبنان', '#Lebanon', '#COVID19']"
newsmt,23h," #وزارة_الصحة #اللبنانية: تسجيل 531 اصابة جديدة بفيروس #كورونا و 4 وفيات خلال الـ 24 ساعة الاخيرة

#كورونا_لبنان 
#لبنان","['#وزارة_الصحة', '#كورونا_لبنان', '#كورونا', '#اللبنانية', '#لبنان']"
حركة أمل,Sep 5,"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: السبت 5 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","['#وطنك_بيتك', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#حركة_أمل']"
Sawt Beirut International,Sep 5,"وزارة الصحة تذكّر: الحجر حتمي لمخالطي الحالات الإيجابية طيلة فترة الحضانة
#كورونا
#لبنان_منكوب","['#لبنان_منكوب', '#كورونا']"
LBCI TV,Sep 5,"عدّاد كورونا في لبنان لا يزال مرتفعا.. ماذا عن الوفيات الجديدة؟
https://bit.ly/321DTR7
#LBCI #LBCINews #LBCILebanon 
#كورونا #كورونا_لبنان","['#LBCI', '#كورونا_لبنان', '#LBCINews', '#كورونا', '#LBCILebanon']"
Transforming Lebanon,Sep 5,ضلوا الزعماء يربّوا كلاب، (ميشان ال EGO) تإجا #فلاش و ربّاهن.. #نبض_تحت_الركام #كورونا #لبنان_ينتفض #كلن_يعني_كلن #لبنان #Lebanon #Beirut,"['#Lebanon', '#نبض_تحت_الركام', '#كورونا', '#كلن_يعني_كلن', '#لبنان_ينتفض', '#فلاش', '#لبنان', '#Beirut']"
Nicholas Frakes | نيكولاس فرايكس,Sep 5,"#Breaking: #Lebanon surpasses 20,000 #COVID19 cases after the Health Ministry confirms 531 new cases and four deaths. The total is now 20,021 and 187 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","['#Lebanon', '#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate', '#COVID19', '#Breaking']"
COVID-19 LB,Sep 5,"COVID-19 daily report for Saturday, September 05, 2020:

531 new people tested positive for COVID-19 out of 9218 tests, distributed between 523 local residents and 8 returning expats, increasing the total number of cases to 20021. ⁧⁧#كورونا_لبنان",['#كورونا_لبنان']
العربية عاجل,Sep 5,#كورونا.. لبنان يسجل 4 وفيات و531 إصابة جديدة #العربية_عاجل https://alarabiya.net,"['#العربية_عاجل', '#كورونا']"
Tony Saliba,Sep 5,٥٣١ اصابة جديدة بفيروس كورونا رفعت العدد التراكمي ل ٢٠،٠٢١ اصابة و ٤ حالات وفاة جديدة #كورونا_لبنان,['#كورونا_لبنان']
M. HC,Sep 5,"وزارة الصحة اللبنانية تعلن عن إرتفاع عدد الإصابات إلى 20011 بعد تسجيل 531 إصابات جديدة، 523 لمقيمين و 8 وافدين. عدد الفحوصات 9218 فحص.
#كورونا #لبنان #بيروت","['#لبنان', '#كورونا', '#بيروت']"
Hitaf Bou Reslan,Sep 5,إصابة حارس النجمة علي السبع بفيروس #كورونا_لبنان,['#كورونا_لبنان']
العربي الجديد-عاجل,Sep 5,"#عاجل | وزارة الصحة اللبنانية: تسجيل 4 وفيات و531 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","['#معا', '#لبنان', '#كورونا', '#عاجل']"
العربي الجديد,Sep 5,"#عاجل | وزارة الصحة اللبنانية: تسجيل 4 وفيات و531 إصابة جديدة بفيروس #كورونا

#لبنان
#معاً_نعزل_كورونا","['#معا', '#لبنان', '#كورونا', '#عاجل']"
Omar Ismail,Sep 5,"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٨ اصابة بعد تسجيل حالة جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢١.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","['#لبنان', '#الوقاية_ثم_الوقاية_ثم_الوقاية', '#كورونا']"
جنوبية | Janoubia,Sep 5,"ماذا فعل؟ 

#كورونا #كورونا_لبنان #لبنان #بيروت","['#كورونا_لبنان', '#لبنان', '#كورونا', '#بيروت']"
OTV Lebanon,Sep 5,"4 حالات إيجابية على متن رحلات وصلت الى بيروت... إليكم التفاصيل
#كورونا_لبنان #كورونا","['#كورونا_لبنان', '#كورونا']"
Carole Antoine Zamaraghdis,Sep 5,"حدا معو رقم وزير الداخلية ؟ و زير الصحة؟ 
#التعبئة_جلطتتني #كورونا_لبنان #وزير_الداخلية #وزير_الصحه #محمد_فهمي #حمد_حسن","['#كورونا_لبنان', '#التعبئة_جلطتتني', '#محمد_فهمي', '#حمد_حسن', '#وزير_الداخلية', '#وزير_الصحه']"
موقع جبشيت - Jebchit,Sep 5,#كورونا لبنان - اصابة رياضي شهير! - https://jebchit.com/article/39325,['#كورونا']
سفير الشمال,Sep 5,"وزارة الصحة تذكر بالإجراءات الواجب اعتمادها لمخالطي حالات كورونا
#لبنان
#كورونا","['#لبنان', '#كورونا']"
Corona Lebanon #كورونا_لبنان,Sep 5,"#كورونا_لبنان: أعلنت خلية متابعة أزمة كورونا في قضاء طرابلس، تسجيل 67 حالة إيجابية جديدة خلال الأربع والعشرين ساعة الماضية، موزعة على الشكل التالي: طرابلس 49، الميناء 9، البداوي 6، القلمون 3.
#CoronaVirusUpdate
#COVID_19
#coronalebanon","['#coronalebanon', '#كورونا_لبنان', '#COVID_19', '#CoronaVirusUpdate']"
charbel hanna,Sep 5,#صباح_الخيرᅠ #c_h #نبض_تحت_الركام #بيروت #جبران_باسيل #زهرا #سد_بسري #صباح_الخير #غرد_لي_بالخير #كورونا #لبنان #لبنان_ينتفض #مصطفي_أديب #مساء_الخير #بس_هيك_عم_فكر_عالعالي #ايماني_فيك_كبير #بس_هيك #Lebanon #Beirut,"['#غرد_لي_بالخير', '#نبض_تحت_الركام', '#سد_بسري', '#مصطفي_أديب', '#صباح_الخيرᅠ', '#ايماني_فيك_كبير', '#Lebanon', '#زهرا', '#كورونا', '#لبنان_ينتفض', '#جبران_باسيل', '#مساء_الخير', '#لبنان', '#بس_هيك', '#Beirut', '#c_h', '#صباح_الخير', '#بيروت', '#بس_هيك_عم_فكر_عالعالي']"
Racroff,Sep 5,"#Covid_19 #coronavirus #coronavirusuk #كورونا_الكويت #كورونا_الجديد #StayAtHome
  #StayHome
  #كورونا #كورونا_لبنان #art #digitalart #arts  #media #dubai #kuwait #UAE #design   #illustration  #الكويت #vectorart  #Vector    #فن   #graphics #doodle #StreetArt #games #illustrationart","['#kuwait', '#digitalart', '#Covid_19', '#كورونا_لبنان', '#StayAtHome', '#design', '#doodle', '#dubai', '#illustrationart', '#كورونا_الكويت', '#arts', '#كورونا', '#coronavirus', '#كورونا_الجديد', '#فن', '#illustration', '#coronavirusuk', '#vectorart', '#art', '#graphics', '#StayHome', '#media', '#StreetArt', '#games', '#UAE', '#الكويت', '#Vector']"
مكتب الصحة المركزي في حركة امل,Sep 5,"اجراء فحوصات pcr للعديد من الاشخاص المخالطين في بلدة الريحان الجنوبية من قبل مكتب الصحة في حركة امل بالتعاون مع جمعية الرسالة للاسعاف الصحي.

#حركة_أمل #مكتب_الصحة #جمعية_الرسالة_للإسعاف_الصحي #الريحان #كورونا #لبنان #وطنك_بيتك","['#وطنك_بيتك', '#الريحان', '#كورونا', '#مكتب_الصحة', '#جمعية_الرسالة_للإسعاف_الصحي', '#حركة_أمل', '#لبنان']"
يوسف جعفر,Sep 5,#كورونا_لبنان مش مزحة,['#كورونا_لبنان']
RIM ( ريم),Sep 5,"وهيك وضع اساتذة الرياضة السنة 
#كورونا_لبنان",['#كورونا_لبنان']
Samia Khaddaj,Sep 5,"جزء من مقدمة حوار الليلة:شهر على تفجير بيروت.
يمكنكم متابعة اللقاء الكامل عبر صفحتي الخاصة على انستغرام samia_khaddaj وقناتي الخاصة على Youtube.
#Covid_19 #تفجير_مرفأ_بيروت #٤_آب #لبنان_رح_يرجع #بيروت #لبنان #إنستغرام #كورونا_لبنان #لقاء_مباشر","['#تفجير_مرفأ_بيروت', '#Covid_19', '#كورونا_لبنان', '#لقاء_مباشر', '#إنستغرام', '#لبنان_رح_يرجع', '#لبنان', '#٤_آب', '#بيروت']"
Assawsana News,Sep 4,"لبنان يسجل 4 وفيات و 527 اصابة جديدة بكورونا
https://assawsana.com/portal/pages.php?newsid=473594…
#السوسنة #كورونا #لبنان","['#لبنان', '#كورونا', '#السوسنة']"
Hiba Bazzi,Sep 4,"بالدكان كمان في احتمال لإنتقال الفايروس يعني بتخلوا الكمامة لما تكونوا جوا مش تشيلوها عالباب
نعتمد على وعي المواطن
اذا كان المواطن جحش، حمار ٣٧ حكومة ما بتعملوا بني آدم
 #وعي_المواطن #كورونا_لبنان","['#وعي_المواطن', '#كورونا_لبنان']"
حركة أمل,Sep 4,"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الجمعة 4 أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","['#وطنك_بيتك', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#حركة_أمل']"
Maher Yehya ابوخليل,Sep 4,"#COVID19
#كورونا
#لبنان
#وعيك_امانه
ان الأفضل استخدام مرفق اليد عند السعال او العطس.","['#لبنان', '#وعيك_امانه', '#كورونا', '#COVID19']"
BelMokhtasar.com,Sep 4,"أعلنت #وزارة_الصحة العامة تسجيل 4 حالات وفاة و527 اصابة جديدة بكورونا رفعت العدد التراكمي منذ ٢١ شباط الماضي الى 19490 حالة
#Covid_19 #كورونا_لبنان #كورونا","['#وزارة_الصحة', '#Covid_19', '#كورونا_لبنان', '#كورونا']"
Sawt Beirut International,Sep 4,"بلدية بقسطا تسجل 13 حالة.. ولا إصابات جديدة في فنيدق
#كورونا_لبنان",['#كورونا_لبنان']
Omar Ismail,Sep 4,"ارتفاع العدد الكلّي للمصابين بفيروس كورونا في القلمون الى ٤٧ اصابة بعد تسجيل ٧ حالات جديدة اليوم.
و استقر عدد حالات الشفاء على ٢٦ مع تسجيل وفاة واحدة ليكون العدد الكلّي للحالات الناشطة حتى الساعة في البلدة هو ٢٠.
 سلامة قلب الجميع
#الوقاية_ثم_الوقاية_ثم_الوقاية #كورونا #لبنان","['#لبنان', '#الوقاية_ثم_الوقاية_ثم_الوقاية', '#كورونا']"
M. HC,Sep 4,"تم تسجيل 254 حالات شفاء والإجمالي إرتفع إلى 5592.  تم تسجيل 24حالة وفاة والإجمالي ارتفع الى 183 حالة. عدد الاصابات الحالية في لبنان 13715 بينها 105 حالة حرجة
#كورونا  #لبنان #بيروت","['#لبنان', '#كورونا', '#بيروت']"
Annahar,Sep 4,#عاجل- #كورونا_لبنان- ما عدد الإصابات اليوم وكم حالة وفاة؟ #Annahar,"['#كورونا_لبنان', '#Annahar', '#عاجل']"
Nicholas Frakes | نيكولاس فرايكس,Sep 4,"#COVID19 cases in #Lebanon increase by 527 and deaths by four. The total is now 19,490 with 183 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","['#Lebanon', '#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate', '#COVID19']"
Lebanese-Forces.com,Sep 4,"مستشفى الحريري: 80 إصابة جديدة و25 حالة حرجة
https://cutt.ly/tfbFLgR
#كورونا #لبنان","['#لبنان', '#كورونا']"
COVID-19 LB,Sep 4,"Friday, September 4 at 7:37 PM

254 new patients have fully recovered from COVID-19, increasing the total number of recoveries to 5592 and reducing active cases to 13715. #كورونا_لبنان",['#كورونا_لبنان']
Elsiyasa | السياسة,Sep 4,"خلية الازمة في #بيت_الفقس : تعليق صلاة الجمعة https://elsiyasa.com/article/130349 
#كورونا #لبنان","['#بيت_الفقس', '#لبنان', '#كورونا']"
Tony Saliba,Sep 4,٥٢٧ اصابة جديدة بفيروس كورونا رفعت العدد التراكمي ل ١٩،٤٨٠ اصابة و ٤ حالات وفاة جديدة #كورونا_لبنان,['#كورونا_لبنان']
LBCI TV,Sep 4,"شركات الأدوية مستعدة لإنتاج كميات غير مسبوقة من اللقاحات لكورونا
https://bit.ly/3lJTbBT
#كورونا #كورونا_لبنان
#LBCI #LBCINews #LBCILebanon","['#LBCI', '#كورونا_لبنان', '#LBCINews', '#كورونا', '#LBCILebanon']"
ℛᗅℙႮℕℰℤℰℒℒ,Sep 4,"طرائف ايام كورونا 
#كورونا
#لبنان
#غزة","['#لبنان', '#غزة', '#كورونا']"
,,,[]
Tony Khalife | طوني خليفة,Sep 4,"ما قاله الدكتور جبران قرنعوني في ملف كورونا لبنان خطير جداً ... فمن بتحمّل المسؤولية؟

الضغط على الفيديو للمشاهدة الكاملة

#طوني_خليفة #لبنان #كورونا_لبنان #بيروت 
 
@safer99205767","['#كورونا_لبنان', '#لبنان', '#طوني_خليفة', '#بيروت']"
عبارات مُلهِمة Inspirational phrases,Sep 4,"#سؤال   عندما تكون سعيداً ستذهب لمن تحب
وعندما تكون حزيناً ستذهب لمن يحبك .
#هل_تتفق  ؟؟
#نعم #لا #يوم_الجمعة #الحظر_الكلي #صباح_الخير #جمعة_مباركة #كورونا #لبنان #نبض_بيروت","['#هل_تتفق', '#يوم_الجمعة', '#كورونا', '#سؤال', '#لبنان', '#جمعة_مباركة', '#لا', '#نبض_بيروت', '#صباح_الخير', '#الحظر_الكلي', '#نعم']"
سفير الشمال,Sep 3,"اقفال مكاتب مصلحة الاقتصاد في سرايا طرابلس بسبب كورونا
#لبنان 
#كورونا","['#لبنان', '#كورونا']"
رادار لبناني,Sep 3,"لو عملتلنا المملكة السعودية كمامات صغيرة بتكلفة الكمامة الاكبر بالعالم والبالونات والاحتفالات، قديش عدد الارواح يلي كان ممكن ننقذها بلا هالمسخرة؟
#مصطفي_أديب #BeirutBlast #بيروت #بيروت_منكوبة #انفجار_مرفأ_بيروت #انفجار_بيروت #المطار_في_خطر #كورونا #لبنان_منكوب #إلا_رسول_الله","['#انفجار_بيروت', '#BeirutBlast', '#إلا_رسول_الله', '#انفجار_مرفأ_بيروت', '#بيروت_منكوبة', '#لبنان_منكوب', '#كورونا', '#مصطفي_أديب', '#المطار_في_خطر', '#بيروت']"
AkhbarnaOnline,Sep 3,كورونا لبنان… ارتفاعٌ متواصل,[]
Lebanese-Forces.com,Sep 3,"مغارة #جعيتا بانتظاركم من جديد
https://bit.ly/32NMuGa
#كورونا #لبنان","['#لبنان', '#جعيتا', '#كورونا']"
Rita BF,Sep 3," for sharing ur experience!!

#كورونا #لبنان_ينتفض #لبنان","['#لبنان_ينتفض', '#لبنان', '#كورونا']"
صيدا اليوم,Sep 3,"كورونا لبنان... إرتفاعٌ متواصل
https://saidaalyawm.com/news-177234",[]
علي,Sep 3,"شو قصتكن يا جماعة !!!!...
ماشيين و عم تبزقوا عبعض ؟؟؟
ارقام الكورونا واصلة لاخر الدني 
#كورونا_لبنان",['#كورونا_لبنان']
حركة أمل,Sep 3,"التقرير اليومي لفيروس كورونا ""كوفيد -19""
التاريخ: الخميس ٣ أيلول 2020
#حركة_أمل
#كورونا_لبنان
#خليك_بالبيت
#وطنك_بيتك
#كورونا","['#وطنك_بيتك', '#كورونا_لبنان', '#كورونا', '#خليك_بالبيت', '#حركة_أمل']"
Sawt Beirut International,Sep 3,"الصيدلي شفيق الحبَّال يكتشف علاجاً لفيروس كورونا
#لبنان",['#لبنان']
وكالة يونيوز للأخبار,Sep 3,"#عاجل 
فؤاد: نحن في الجبهة نثمن أي خطوة إيجابية ونثمن ما يقوم به الرئيس والحكومة من إجراءات وقائية في الضفة الغربية في ظل فيروس كورونا
#لبنان #يونيوز","['#يونيوز', '#لبنان', '#عاجل']"
Corona Lebanon #كورونا_لبنان,Sep 3,"#كورونا_لبنان: تسجيل 588 إصابة جديدة بفيروس #كورونا في #لبنان ليرتفع إجمالي الاصابات الى 18963 إصابة
علما أن الإصابات توزعت بين 582 إصابة من المقيمين و 6 إصابات من الوافدين
#CoronaVirusUpdate
#COVID_19
#coronalebanon","['#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate', '#coronalebanon', '#لبنان', '#COVID_19']"
❞ محَمّد تَرحِينِي ❝,Sep 3,"588 حبة كراوية اليوم 
#كورونا #لبنان","['#لبنان', '#كورونا']"
Nicholas Frakes | نيكولاس فرايكس,Sep 3,"#Covid_19 cases increase by 588 in #Lebanon along with two deaths. The total is now 18,963 and 179 deaths. #CoronaVirusUpdate #كورونا #كورونا_لبنان","['#Lebanon', '#Covid_19', '#كورونا_لبنان', '#كورونا', '#CoronaVirusUpdate']"
